Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/09/25,Edmonton,1,To meet constituents,Hosting a meeting,M0248430,Starbucks,6.00
2020/09/26,Edmonton,1,To meet constituents,Hosting a meeting,M0248430,Starbucks,18.80
2020/09/27,Edmonton,1,To meet constituents,Hosting a meeting,M0248430,Starbucks,6.60
2020/09/28,Edmonton,1,To meet constituents,Hosting a meeting,M0248716,Kb & Co Windermere,21.99
2020/10/03,Edmonton,1,To meet constituents,Hosting a meeting,M0249080,McDonald's,15.93
2020/10/03,Edmonton,1,To meet constituents,Hosting a meeting,M0249080,Starbucks,9.50
2020/10/12,Edmonton,1,To meet constituents,Hosting a meeting,M0249931,Starbucks,7.10
2020/10/13,Edmonton,1,To meet constituents,Hosting a meeting,M0249931,Starbucks,7.90
2020/10/14,Edmonton,1,To meet constituents,Hosting a meeting,M0250733,Starbucks,7.10
2020/10/21,Edmonton,2,To meet constituents,Hosting a meeting,M0250733,the Marc,65.07
2020/10/22,Edmonton,1,To meet constituents,Hosting a meeting,M0252234,Cafe Blackbird,10.35
2020/10/22,Edmonton,1,To meet constituents,Hosting a meeting,M0250733,Oeb Breakfast,43.09
2020/10/24,Edmonton,1,To meet constituents,Hosting a meeting,M0252234,Starbucks,7.10
2020/10/30,Edmonton,1,To meet constituents,Hosting a meeting,M0252234,Starbucks,7.10
2020/10/30,Edmonton,1,To meet constituents,Hosting a meeting,M0252234,Chachi's,26.00
2020/11/01,Edmonton,2,To meet constituents,Hosting a meeting,M0252234,Delux Burger & Bar,61.50
2020/11/03,Edmonton,1,To meet constituents,Hosting a meeting,M0251799,Provincial Pub,27.53
2020/11/07,Edmonton,4,To meet constituents,Hosting a meeting,M0252234,The Marc,123.42
2020/11/11,Edmonton,1,To meet constituents,Hosting a meeting,M0252910,Starbucks,7.40
2020/11/14,Edmonton,1,To meet constituents,Hosting a meeting,M0252910,Provincial Pub,27.25
2020/11/21,Edmonton,2,To meet constituents,Hosting a meeting,M0253880,Starbucks,18.55
