Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0263433,No Frills,37.92
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250537,London Drugs,10.28
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0263439,Costco,9.71
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0256157,Loblaws,32.99
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250537,Real Canadian Superstore,8.46
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250537,Walmart,30.00
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250905,Walmart,13.97
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250537,Costco,15.71
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0250905,Costco,65.88
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0265632,Costco,19.31
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0265632,Amazon,27.52
2020/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0263433,Costco,70.54
2020/07/01,Edmonton,75,To meet constituents,Hosting a town hall or community event,M0250537,Save-On-Foods,47.84
2020/09/02,Edmonton,3,To meet constituents,Hosting a meeting,M0250905,Capital Pizza and Steakhouse,60.26
2020/10/29,Ottawa,2,To exchange with dignitaries,Hosting a meeting,M0256157,LCBO,56.90
2020/10/29,Ottawa,2,To exchange with dignitaries,Hosting a meeting,M0256157,Shawarma Palace,60.35
2020/11/02,Edmonton,2,To plan Member's priorities and activities,Hosting a staff event,M0263433,Papa John's Pizza,24.31
2020/11/05,Edmonton,3,To meet constituents,Hosting a meeting,M0263433,Capital Pizza & Steak House,61.11
2020/11/12,Edmonton,3,To meet constituents,Hosting a meeting,M0263531,Capital Pizza and Steakhouse,50.59
2020/12/08,Ottawa,3,To meet visitors of Member’s office,Hosting a meeting,M0256157,Creperie Rim,66.62
2020/12/10,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a staff event,M0256157,Loblaws,21.98
2020/12/21,Edmonton,3,To plan Member's priorities and activities,Hosting a staff event,M0263531,Capital Pizza and Steakhouse,100.70
2021/03/04,Edmonton,2,To plan Member's priorities and activities,Hosting a staff event,M0263531,Papa John's Pizza,27.00
2021/03/19,Edmonton,2,To plan Member's priorities and activities,Hosting a meeting,M0265632,Capital Pizza & Steakhouse,57.48
