Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Chicoutimi,0,To meet visitors of Member’s office,Hosting a meeting,M0283032,Costco,76.27
2020/04/01,Chicoutimi,0,To meet visitors of Member’s office,Hosting a meeting,M0283032,Provigo,9.99
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285724,Nespresso,84.40
2021/09/23,La Baie (Saguenay),6,To plan Member's priorities and activities,Hosting a meeting,M0281899,Restaurant Lucerne,145.69
2021/09/29,Chicoutimi,3,To meet constituents,Hosting a meeting,M0281899,Restaurant Normandin,71.15
2021/10/14,Chicoutimi,4,To attend staff events including training,Meal at a community activity or event,M0283032,Chez Georges,67.15
2021/10/18,Chicoutimi,4,To attend staff events including training,Hosting a meeting,M0283032,Bistrot du Fjord,59.96
2021/10/21,Chicoutimi,4,To meet constituents,Hosting a meeting,M0284023,Restaurant-Bar  Le Stade,91.49
2021/11/08,Chicoutimi,2,To meet constituents,Hosting a meeting,M0284023,Café Mont-Royal,11.85
2021/11/10,Chicoutimi,2,To meet visitors of Member’s office,Hosting a meeting,M0285305,Chez Georges,37.50
2021/11/11,La Baie (Saguenay),2,To meet constituents,Hosting a meeting,M0285724,La Lucerne,68.49
2021/11/15,Chicoutimi,6,To celebrate a significant event,Meal at a community activity or event,M0285779,Benny&Co,75.92
2021/11/16,Chicoutimi,6,To meet constituents,Hosting a staff event,M0285724,Normandin,133.01
2021/11/25,Chicoutimi,6,To celebrate a significant event,Hosting a staff event,M0286377,ST-Hubert,128.70
