Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/01,Saint-Hyacinthe,0,To meet visitors of Member’s office,Hosting a meeting,M0286169,Marché Dessaulles,3.99
2021/04/01,Saint-Hyacinthe,0,To meet visitors of Member’s office,Hosting a meeting,M0286169,IGA,10.69
2021/11/09,Saint-Hyacinthe,50,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0286169,SPRY,20.00
2021/11/24,Saint-Hyacinthe,1,To meet constituents,Meal at a community activity or event,M0284802,La Moisson Maskoutaine,160.95
2021/11/27,Saint-Hyacinthe,1,To meet constituents,Meal at a community activity or event,M0286169,ASSOCIATION QUÉBÉCOISE DES PERSONNES STOMISÉES,60.00
2021/12/03,Saint-Hyacinthe,65,To meet constituents,Meal at a community activity or event,M0286169,Chevaliers Colombs conseil 960 Saint-Hyacinthe,20.00
2021/12/14,Saint-Hyacinthe,0,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0288545,SPRY,10.00
2021/12/19,Saint-Hyacinthe,8,To attend staff events including training,Hosting a staff event,M0289769,Le Parvis,371.83
2022/02/11,Saint-Hyacinthe,3,To plan Member's priorities and activities,Hosting a meeting,M0292269,Allo mon coco,59.80
2022/02/24,Saint-Hyacinthe,4,To plan Member's priorities and activities,Hosting a staff event,M0293665,Sushi Saint-Hyacinthe,87.15
2022/03/08,Saint-Hyacinthe,150,To meet constituents,"Meal at a gala, reception or ceremony",M0296918,La fondation de la Clé sur la Porte,200.00
2022/03/08,Saint-Hyacinthe,40,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0296918,SPRY,10.00
