Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/01,Jonquière,0,To meet visitors of Member’s office,Hosting a meeting,M0295653,Nutrinor,40.50
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0295074,Nespresso,81.62
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0286358,Nespresso,14.50
2021/11/11,Jonquière,1,To plan Member's priorities and activities,Hosting a meeting,M0287119,Bistro au Carré,39.36
2021/12/03,Jonquière,4,To plan Member's priorities and activities,Hosting a meeting,M0286358,Passion café,67.83
2021/12/10,Jonquière,5,To plan Member's priorities and activities,Hosting a meeting,M0286358,Bistro au Carré,90.28
2021/12/11,Jonquière,3,To attend staff events including training,Hosting a meeting,M0288831,Le Bergerac,326.54
2021/12/19,Saint-Charles-de-Bourget,1,To meet constituents,Meal at a community activity or event,M0289042,Centre Communautaire de Saint-Charles-de-Bourget,40.00
2022/02/11,Jonquière,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0291843,Passion Café,49.08
2022/02/11,Jonquière,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0291843,Mr. Puffs,25.96
2022/03/04,Jonquière,4,To meet visitors of Member’s office,Hosting a meeting,M0294082,Jean Coutu,39.98
2022/03/18,Jonquière,4,To plan Member's priorities and activities,Hosting a meeting,M0295074,Bistro au Carré,94.97
2022/03/25,Jonquière,4,To plan Member's priorities and activities,Hosting a meeting,M0296292,St-Hubert Jonquiere,87.20
