Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/01/01,Baie-Comeau,10,To meet constituents,Hosting a meeting,M0301775,Costco (Gatineau),39.99
2022/04/05,Ottawa,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0299131,Food services (HOC-CDC),273.37
2022/04/05,Ottawa,15,To meet visitors of Member’s office,Hosting a meeting,M0302878,Chambre des communes - Traiteur,164.30
2022/04/12,Baie-Comeau,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0300231,St-Hubert,125.06
2022/04/21,Trois-Rivières,100,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0301781,Duoson Multimedias,447.30
2022/04/21,Trois-Rivières,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0301237,Casa Grecque -,126.57
2022/05/06,Ottawa,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0303496,3 Brewers Sparks,102.68
2022/05/24,Sept-îles,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0304391,"Pub St-Marc ",318.91
2022/06/01,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0304469,L3B,107.79
2022/06/01,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0304469,"Bâton Rouge ",140.11
