Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/05,Saint-Gabriel,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0300230,LE GEORGESVILLE,11.14
2022/04/12,Sainte-Marie,1,To meet constituents,Meal at a community activity or event,M0300264,CCINB,55.00
2022/04/12,Sainte-Marie,1,To meet constituents,Meal at a community activity or event,M0300264,CCINB,55.00
2022/04/12,Sainte-Marie,1,To meet constituents,Meal at a community activity or event,M0300264,CCINB,55.00
2022/04/28,Sainte-Marie,1,To meet constituents,Meal at a community activity or event,M0301389,LE CRÉPUSCULE,60.00
2022/04/28,Saint-Georges,1,To meet constituents,Meal at a community activity or event,M0301392,CONSEIL ÉCONOMIQUE DE BEAUCE CEB,140.00
2022/04/28,Sainte-Marie,1,To meet constituents,Meal at a community activity or event,M0301389,LE CRÉPUSCULE,60.00
2022/04/30,Beauceville,1,To meet constituents,Meal at a community activity or event,M0303104,Club Rotary de Beauceville,280.00
2022/05/07,Sainte-Marie,0,To meet constituents,Meal at a community activity or event,M0303108,L'A.E.C. LA FONTAINE,75.00
2022/05/12,Scott,1,To meet constituents,Meal at a community activity or event,M0303110,CHAMBRE DE COMMERCE ET D'INDUSTRIE NOUVELLE-BEAUCE,280.00
2022/05/19,Beauceville,1,To meet constituents,Meal at a community activity or event,M0303111,CDC Beauce-Etchemins,75.00
2022/05/19,Sainte-Marie,3,To meet constituents,Hosting a reception or open house,M0303462,ST-HUBERT,59.74
2022/05/21,Saint-Georges,2,To meet constituents,"Meal at a gala, reception or ceremony",M0303113,CHAMBRE DE COMMERCE ST-GEORGES,280.00
2022/05/25,Sainte-Marie,15,To meet constituents,Hosting a reception or open house,M0303862,IGA,26.00
2022/05/25,Sainte-Marie,15,To meet constituents,Hosting a reception or open house,M0303862,TIM HORTONS,38.98
2022/05/26,Sainte-Marie,0,To meet constituents,Meal at a community activity or event,M0305507,Chambre de Commerce et de l'industrie Nouvelle-Beauce,60.00
2022/05/26,Saint-Georges,10,To meet constituents,Hosting a reception or open house,M0303862,TIM HORTONS,19.49
2022/05/27,Saint-Georges,0,To meet constituents,Meal at a community activity or event,M0304171,CHAMBRE DE COMMERCE ST-GEORGES,80.48
2022/05/29,Sainte-Marguerite (La Nouvelle-Beauce),1,To meet constituents,Meal at a community activity or event,M0304082,CERCLE DES FERMIÈRES STE-MARGUERITE,50.00
2022/06/02,Beauceville,2,To meet constituents,"Meal at a gala, reception or ceremony",M0305491,Beauce-centre Économique,280.00
2022/06/10,Saint-Georges,1,To meet constituents,Meal at a community activity or event,M0305493,FONDATION CONDORS FOOTBALL,50.00
2022/06/14,Frampton,0,To meet constituents,Meal at a community activity or event,M0305528,CCINB,25.00
