Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/11/22,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0302888,Food Services House of Commons,116.25
2022/04/01,St. John's,1,To meet visitors of Member’s office,Hosting a meeting,M0301286,Craig's Cookies,32.00
2022/04/06,St. John's,14,To discuss constituency issues with stakeholders,Hosting a meeting,M0301286,Merchant Tavern,82.08
2022/04/06,St. John's,14,To discuss constituency issues with stakeholders,Hosting a meeting,M0301154,Merchant Tavern,73.80
2022/04/10,St. John's,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0301154,Merchant Tavern,54.12
2022/04/11,St. John's,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0301254,Manna Bakery Limited,187.95
2022/04/19,St. John's,6,To plan Member's priorities and activities,Hosting a staff event,M0301264,"Big's ",166.14
2022/05/18,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0303364,Greek on Wheels,152.96
2022/05/19,Ottawa,10,To celebrate a significant event,Hosting a staff event,M0303988,Rabbit Hole,265.43
2022/05/23,St. John's,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0305993,Shoppers,5.95
2022/05/23,St. John's,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0305993,India Gate Restaurant,107.60
2022/05/24,St. John's,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0304048,Chafes Landing Restaurant,203.90
2022/05/27,St. John's,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0305993,Chafe's Landing,88.17
2022/05/27,St. John's,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0304048,Rocket Bakery Mount Pearl,44.68
