Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/09,Triton,14,To celebrate a significant event,Meal at a community activity or event,M0300400,Fudge's Restaurant and Motel Ltd.,245.10
2022/05/06,Fogo Island,60,To celebrate a significant event,Hosting a meeting,M0302156,"Cod Jigger Diner ",391.08
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304857,"Buck Or Two ",14.85
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304818,Dollar Store,58.50
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304820,"Sobeys ",20.73
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304820,Dollarama,36.50
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304820,"Sobey's ",88.96
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304820,"Chandler ",9.99
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304857,"Walmart ",58.93
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304818,"Walmart ",22.41
2022/05/26,Grand Falls-Windsor,120,To meet constituents,Hosting a reception or open house,M0304820,"Central Meats LTD ",503.99
