Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Toronto,0,To meet visitors of Member’s office,Hosting a meeting,M0313898,Esso Circle K,6.99
2022/06/06,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0307497,Tim Hortons,19.99
2022/06/06,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0307497,Le Moulin De Prouvence,65.46
2022/06/07,Ottawa,12,To exchange with dignitaries,Hosting a meeting,M0307497,Palermo Express,107.28
2022/06/29,Toronto,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0307497,Forno Cultura,200.00
2022/07/16,Scarborough,100,To meet constituents,Community activity or event,M0310572,Roast Corn Express,56.00
2022/07/16,Scarborough,100,To meet constituents,Community activity or event,M0310572,Costco,87.92
2022/07/16,Scarborough,100,To meet constituents,Community activity or event,M0310572,Esso Circle K,21.98
2022/07/16,Scarborough,100,To meet constituents,Community activity or event,M0310572,Walmart,29.70
2022/08/13,Toronto,12,To meet constituents,Hosting a meeting,M0313898,Tim Hortons,25.33
2022/08/14,Toronto,10,To meet constituents,Hosting a meeting,M0313898,TIM HORTONS,14.85
2022/08/15,Toronto,15,To meet constituents,Hosting a meeting,M0313872,"McDonald's ",52.96
2022/08/16,Toronto,25,To celebrate a significant event,Community activity or event,M0313872,Pizza Pizza,73.25
2022/08/23,Toronto,8,To meet constituents,Hosting a meeting,M0313833,Subway,16.58
2022/08/26,Toronto,25,To meet constituents,Hosting a meeting,M0313918,Walmart,60.40
2022/08/26,Toronto,25,To meet constituents,Hosting a meeting,M0313898,Pizza Pizza,109.46
2022/08/27,Toronto,500,To meet constituents,Hosting a town hall or community event,M0313833,Food Basics,59.93
2022/08/27,Toronto,500,To meet constituents,Hosting a town hall or community event,M0313983,Sweet Ridge Farms,500.00
2022/08/27,Toronto,500,To meet constituents,Hosting a town hall or community event,M0313918,Costco,73.99
2022/08/27,Toronto,500,To meet constituents,Hosting a town hall or community event,M0313918,Walmart,29.70
2022/08/27,Toronto,500,To meet constituents,Hosting a town hall or community event,M0313940,Redline Promotions,650.00
2022/09/02,Toronto,15,To meet constituents,Hosting a meeting,M0313833,Snappy Food Mart,18.87
2022/09/02,Toronto,15,To meet constituents,Hosting a meeting,M0313872,Snappy's Food Mart,18.98
2022/09/02,Toronto,15,To meet constituents,Hosting a meeting,M0313833,McDonald's,17.94
2022/09/02,Toronto,15,To meet constituents,Hosting a meeting,M0313833,Pizza Pizza,78.14
