Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312204,Safeway,20.42
2022/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0312235,Costco,19.99
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Nofrills,6.36
2022/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0312204,Costco,20.99
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Loblaws City Market,5.36
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Real Canadian Superstore,10.62
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Safeway,9.68
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Costco,24.65
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312235,Nofrills,12.62
2022/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0312235,Nofrills,4.29
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312204,Real Canadian Superstore,9.48
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312204,Freshco,11.94
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312204,Costco,28.10
2022/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0312204,Real Canadian Superstore,21.99
2022/04/01,Edmonton,5,To meet visitors of Member’s office,Hosting a meeting,M0312204,Real Canadian Superstore,11.03
2022/06/03,Edmonton,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0312235,Hong Kong Bakery,17.20
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Special Events Rentals,698.49
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Edmonton Bouncy Castle Rentals and Accessories,386.61
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Wholesale Club,389.42
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Long & McQuade Musical Instruments,38.00
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Real Canadian Superstore,13.47
2022/07/23,Edmonton,400,To meet constituents,Community activity or event,M0312240,Costco,649.29
