Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0306332,NESPRESSO,112.00
2022/04/01,Dartmouth,0,To meet visitors of Member’s office,Hosting a meeting,M0315125,NESPRESSO,62.30
2022/04/01,Dartmouth,0,To meet visitors of Member’s office,Hosting a meeting,M0310072,"SHOPPERS DRUG MART ",19.99
2022/05/11,Dartmouth,2,To meet constituents,Community activity or event,M0310061,Greater Burnside Business Association,90.00
2022/06/15,Ottawa,32,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0306332,Centertown Donair & Pizza,110.05
2022/06/16,Ottawa,6,To attend staff events including training,Hosting a staff event,M0306314,Mamma Theresa Restorante,152.70
2022/06/18,Dartmouth,100,To meet constituents,Community activity or event,M0310107,"DARTMOUTH GENERAL HOSPITAL FOUNDATION ",280.00
2022/07/01,Dartmouth,300,To meet constituents,Hosting a town hall or community event,M0307739,Karyn's Cookies & Treats,450.00
2022/07/01,Dartmouth,300,To meet constituents,Hosting a town hall or community event,M0310072,TIM HORTONS,77.96
2022/08/01,Dartmouth,2000,To meet constituents,Community activity or event,M0310104,Halifax-Dartmouth Natal Day Parade Committee (HRM),100.00
