Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,New Westminster,10,To meet visitors of Member’s office,Hosting a meeting,M0311525,Nespresso,107.60
2022/07/01,Burnaby,3000,To celebrate a significant event,Community activity or event,M0311525,Safeway,29.97
2022/07/17,Burnaby,120,To meet constituents,Hosting a town hall or community event,M0313358,SHOPPERS DRUG MART,9.61
2022/07/17,Burnaby,120,To meet constituents,Hosting a town hall or community event,M0309805,Celebration Party Rentals,79.18
2022/07/19,New Westminster,2,To plan Member's priorities and activities,Hosting a meeting,M0311751,Angelina's Restaurant,40.51
2022/07/21,New Westminster,2,To plan Member's priorities and activities,Hosting a meeting,M0311751,Angelina's Restaurant,41.09
2022/07/22,Burnaby,3000,To meet constituents,Community activity or event,M0311411,Vancouver Bubble Tea Festival,159.60
2022/07/23,Burnaby,1000,To meet constituents,Community activity or event,M0311511,Save-on-Foods #907,18.21
2022/07/23,Burnaby,1000,To meet constituents,Community activity or event,M0311525,Kernels,215.94
2022/08/03,New Westminster,2,To plan Member's priorities and activities,Hosting a meeting,M0311751,Angelina's Restaurant,48.33
2022/08/06,Burnaby,1000,To meet constituents,Hosting a town hall or community event,M0311411,Wholesale Club,1233.86
2022/08/06,Burnaby,1000,To meet constituents,Hosting a town hall or community event,M0311411,Costco Wholesale,275.91
2022/08/13,New Westminster,3000,To celebrate a significant event,Community activity or event,M0312759,New West Pride Society,500.00
2022/08/13,New Westminster,3000,To celebrate a significant event,Community activity or event,M0313358,Your Dollar Store With More,81.41
2022/08/13,New Westminster,3000,To celebrate a significant event,Community activity or event,M0313358,SHOPPERS DRUG MART,57.78
2022/08/27,New Westminster,1000,To meet constituents,Community activity or event,M0313358,COSTCO WHOLESALE,31.96
2022/08/27,New Westminster,1000,To meet constituents,Community activity or event,M0313358,Hyack Festival Association,206.56
2022/08/27,New Westminster,1000,To meet constituents,Community activity or event,M0313358,SHOPPERS DRUG MART,27.80
