Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/03/18,Neepawa,30,To meet constituents,Hosting a reception or open house,M0314100,Fresh Mart,257.89
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0313701,Costco,75.97
2022/06/06,Ottawa,250,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0311847,Andrew Rochon,140.56
2022/06/14,Ottawa,8,"To discuss business of the House, caucus and committees",Hosting a meeting,M0307621,House of Commons Food Services — Services de restauration de la Chambre des communes,55.75
2022/06/27,Kenton,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0313801,Fresh Mart,48.82
2022/08/02,Neepawa,100,To meet constituents,Hosting a reception or open house,M0312519,Co-Op,235.15
2022/08/02,Neepawa,100,To meet constituents,Hosting a reception or open house,M0312519,Costco,199.80
2022/08/02,Neepawa,100,To meet constituents,Hosting a reception or open house,M0311748,Co-Op,8.98
2022/08/03,Dauphin,200,To meet constituents,Hosting a reception or open house,M0311748,wal-mart,45.66
2022/08/03,Dauphin,200,To meet constituents,Hosting a reception or open house,M0311847,Safeway,123.25
2022/08/03,Dauphin,300,To meet constituents,Community activity or event,M0311204,Smitty's,175.38
2022/08/03,Dauphin,200,To meet constituents,Hosting a reception or open house,M0312519,Co-Op,76.33
2022/08/03,Dauphin,200,To meet constituents,Hosting a reception or open house,M0311748,wal mart,3.94
2022/09/01,Swan River,60,To meet constituents,Hosting a town hall or community event,M0313701,Wal-Mart,33.04
2022/09/01,Swan River,60,To meet constituents,Hosting a town hall or community event,M0313801,Quik Stop,20.00
2022/09/01,Swan River,60,To meet constituents,Hosting a town hall or community event,M0314055,The Shop Minitonas Inc.,65.52
2022/09/01,Swan River,60,To meet constituents,Hosting a town hall or community event,M0313701,Co-Op,272.00
