Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/06/13,Ottawa,8,To exchange with dignitaries,Hosting a meeting,M0306803,Parliamentary Restaurant,315.13
2022/06/25,Scarborough,50,To celebrate a significant event,Community activity or event,M0306991,"Guild Inn Estate, The",1747.00
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0311696,Menu Foodtruck,500.00
2022/08/27,Scarborough,5,To plan Member's priorities and activities,Hosting a meeting,M0314829,Olde Stone Cottage Pub,194.95
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0312895,Colourful Skins,860.00
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0312897,AllCargos Tent & Event Rentals Inc.,1967.90
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0312899,Me.n.u Canada Limited,1251.50
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0312922,Fresh Co,83.82
2022/08/27,Scarborough,150,To meet constituents,Hosting a town hall or community event,M0312932,Independent,21.00
2022/08/27,Scarborough,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0314829,Sunnyside Up All Day Breakfast,53.46
