Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/06/06,Ottawa,250,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0307239,Andrew Rochon,140.56
2022/06/15,Ottawa,3,To celebrate a significant event,Hosting a staff event,M0305875,Lexington Smokehouse & Bar,141.51
2022/07/15,Saskatoon,200,To meet constituents,Hosting a reception or open house,M0309485,Wholesale Club,130.87
2022/07/15,Saskatoon,200,To meet constituents,Hosting a reception or open house,M0309485,Real Canadian Superstore,13.68
2022/07/15,Saskatoon,200,To meet constituents,Hosting a reception or open house,M0309485,Swadesh Supermarket,136.42
2022/07/15,Saskatoon,200,To meet constituents,Hosting a reception or open house,M0309485,No Frills,9.99
2022/08/11,Saskatoon,2,To exchange with dignitaries,Hosting a meeting,M0311484,Hotel Senator,48.65
2022/08/18,Saskatoon,4,To meet constituents,Community activity or event,M0312399,Saskatoon Folkfest,78.98
2022/08/23,Waskesiu Lake,26,"To discuss business of the House, caucus and committees",Hosting a meeting,M0312399,Elk Ridge Resort,113.57
2022/08/23,Waskesiu Lake,26,"To discuss business of the House, caucus and committees",Hosting a meeting,M0312399,Elk Ridge Resort,117.47
2022/08/31,Saskatoon,2,To discuss constituency issues with stakeholders,"Gala, reception or ceremony",M0312399,NSBA,280.00
2022/09/12,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0312399,Costco,116.11
