Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/10/29,Surrey,5,To plan Member's priorities and activities,Hosting a staff event,M0305181,London Drugs,33.93
2022/06/02,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a staff event,M0305179,Bier Market,104.34
2022/06/22,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0308101,Pizza Pizza,49.38
2022/06/22,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0308101,East India Company Pub & Eatery,31.12
2022/06/22,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0308101,The beer store,18.84
2022/07/29,Surrey,6,To plan Member's priorities and activities,Hosting a staff event,M0310750,Browns Social House,200.00
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312906,"Bear Creek Liqor Store ",11.80
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312904,"Surdel Party Rentals ",2601.05
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312908,Save-On Foods,55.43
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312908,CHALO Fresh Co,297.58
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312901,Arcade Party Truck,780.00
2022/08/07,Surrey,100,To meet constituents,Community activity or event,M0310848,Scott Road Insurance Services Ltd.,305.00
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312908,Dollarama,43.07
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312908,Wholesale Club,452.50
2022/08/07,Surrey,100,To meet constituents,Community activity or event,M0312906,Strawberry Hill Esso,39.90
2022/08/07,Surrey,150,To meet constituents,Community activity or event,M0312908,COSTCO,453.47
2022/08/07,Surrey,100,To meet constituents,Community activity or event,M0312906,Maharaja Catering Ltd.,140.01
