Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/01,Sainte-Julie,0,To meet visitors of Member’s office,Hosting a meeting,M0318653,Maxi,8.99
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0317549,Marché Gourmet,5.05
2022/10/29,Sainte-Julie,2,To meet constituents,Community activity or event,M0319520,Cercle Marie-Julie #1342,50.00
2022/11/02,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319520,Service de restauration,284.48
2022/11/04,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320130,Service de restauration,226.75
2022/11/05,Saint-Mathieu-de-Beloeil,1,To meet constituents,"Gala, reception or ceremony",M0321295,La Maison Victor Gadbois,68.95
2022/11/15,Sainte-Julie,1,To celebrate a significant event,"Gala, reception or ceremony",M0318653,MRC Marguerie-D'Youville,35.00
2022/11/19,Sainte-Julie,1,To meet constituents,Community activity or event,M0318653,"Chevaliers de Colomb, Conseil 8203",120.00
2022/11/23,Ottawa,6,To meet visitors of Member’s office,Hosting a meeting,M0321782,Service de restauration,287.00
2022/12/09,Saint-Basile-le-Grand,1,To meet constituents,"Gala, reception or ceremony",M0320821,Paroisse Saint-Basile-le-Grand,50.00
