Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0319018,Nespresso,136.00
2022/04/01,Alma,0,To meet visitors of Member’s office,Hosting a meeting,M0319524,Walmart,39.94
2022/04/01,Alma,0,To meet visitors of Member’s office,Hosting a meeting,M0319524,Dépanneur 5AM Alma,5.25
2022/04/01,Alma,0,To meet visitors of Member’s office,Hosting a meeting,M0320128,Maxi Alma,28.39
2022/09/28,Alma,10,To meet constituents,Hosting a meeting,M0315986,Walmart Alma,4.54
2022/10/06,Alma,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0315986,Pacini Alma,65.66
2022/10/17,Roberval,25,To meet constituents,Hosting a meeting,M0318689,Au chef Extra,314.25
2022/10/28,Alma,1,To meet constituents,"Gala, reception or ceremony",M0315986,Zeffi,220.00
2022/10/28,Alma,5,To meet constituents,"Gala, reception or ceremony",M0316962,Société d'Histoire du Lac St-Jean,660.00
2022/10/31,Alma,7,To plan Member's priorities and activities,Hosting a meeting,M0318689,Tim Horton Alma,21.03
2022/11/03,Saguenay,0,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0318689,PME Export,92.66
2022/11/03,Alma,1,To meet constituents,"Gala, reception or ceremony",M0320307,CHAMBRE COMMERCE INDUSTRIE LAC-ST-JEAN-EST,280.00
2022/11/11,Dolbeau,0,To meet constituents,"Gala, reception or ceremony",M0320141,Chambre de Commerce et d'industrie de Dolbeau-Mistassini,125.00
2022/11/19,Saint-Bruno (Lac-Saint-Jean-Est),1,To meet constituents,"Gala, reception or ceremony",M0320141,Chevalier de Colomb District 5 - Samuel de Champlain,120.00
2022/12/22,Alma,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0324018,Fromagerie Médard,200.00
