Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/07/23,Waterloo,2,To celebrate a significant event,Community activity or event,M0315875,Hamilton Conservation Authority,18.14
2022/08/04,Waterloo,3,To meet constituents,Hosting a meeting,M0318071,The Healthy Owl Bakery,47.56
2022/08/10,Waterloo,5,To plan Member's priorities and activities,Hosting a meeting,M0315875,Teremok Cafe,58.63
2022/08/19,Hamilton,2,To plan Member's priorities and activities,Hosting a meeting,M0315875,The French INC.,58.00
2022/08/26,Waterloo,6,To plan Member's priorities and activities,Hosting a staff event,M0315903," State & Main",126.48
2022/09/22,Ottawa,4,To meet constituents,Hosting a meeting,M0315903,Parliamentary Restaurant,113.01
2022/09/23,Waterloo,3,To celebrate a significant event,Community activity or event,M0315875,Hockey Helps the Homeless,40.00
2022/09/24,Waterloo,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0315903,Concordia Club,99.70
2022/09/25,Waterloo,12,To celebrate a significant event,Community activity or event,M0315922,Caribbean Canadian Association of Waterloo,760.00
2022/09/29,Waterloo,1,To meet constituents,Hosting a meeting,M0315875,The Daily Grill Restaurant,35.72
2022/09/30,Waterloo,6,To meet constituents,Hosting a meeting,M0318071,East Side Mario's,122.16
2022/10/03,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0318071,Parliamentary Restaurant,138.04
2022/10/17,Ottawa,4,To meet visitors of Member’s office,Hosting a meeting,M0318129,Parliamentary Restaurant,22.18
2022/10/18,Ottawa,4,To meet constituents,Hosting a meeting,M0318129,Parliamentary Restaurant,11.19
2022/10/20,Ottawa,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0318129,Parliamentary Restaurant,45.38
2022/11/08,Waterloo,3,To celebrate a significant event,Community activity or event,M0318676,Hamilton Family Theatre Cambridge,300.00
2022/11/09,Waterloo,2,To meet constituents,Hosting a meeting,M0320993,Coffee & Wine Bar,6.50
2022/11/10,Waterloo,2,To meet constituents,Hosting a meeting,M0320993,Sole Restaurant,64.21
2022/11/15,Ottawa,4,To meet visitors of Member’s office,Hosting a meeting,M0320993,Parliamentary Restaurant,18.57
2022/11/16,Ottawa,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0322546,Parliamentary Restaurant,22.47
2022/11/17,Ottawa,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0322546,Parliamentary Restaurant,37.33
2022/11/23,Ottawa East,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0322546,Parliamentary Restaurant,23.47
2022/11/29,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0322546,Paraliamentary Restuarant,18.34
2022/12/07,Ottawa,3,To meet constituents,Hosting a meeting,M0323993,Parliamentary Restaurant,112.71
2022/12/12,Ottawa,3,To meet visitors of Member’s office,Hosting a meeting,M0323993,Parliamentary Restaurant,14.19
2022/12/28,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0322546,Parliamentary Restaurant,18.73
