Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/02/21,Rimouski,1,To meet constituents,Hosting a meeting,M0319548,Walmart,76.00
2022/04/01,Rivière-du-Loup,0,To meet visitors of Member’s office,Hosting a meeting,M0314451,Canadian Tire,35.99
2022/04/01,Rivière-du-Loup,0,To meet visitors of Member’s office,Hosting a meeting,M0318081,Canadian Tire,35.99
2022/04/01,Rivière-du-Loup,0,To meet visitors of Member’s office,Hosting a meeting,M0316495,Jean Coutu,18.99
2022/08/31,Saint-Pacôme-Station,0,To meet constituents,Community activity or event,M0317845,Chambre de Commerce Kamouraska-L'Islet,35.00
2022/10/01,Notre-Dame-du-Portage,0,To meet constituents,Community activity or event,M0316495,Club de hockey 3L,34.79
2022/10/09,Montmagny (MRC / RCM),1,To meet constituents,Community activity or event,M0316495,Les Enfants d'coeur,40.00
2022/10/13,La Pocatière,0,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-vous Affaires 2022 MLKRDL,49.01
2022/10/13,La Pocatière,0,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-vous Affaires 2022 MLKRDL,104.81
2022/10/13,La Pocatière,1,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-Vous Affaires 2022 MLKRDL,49.01
2022/10/13,La Pocatière,1,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-Vous Affaires 2022 MLKRDL,104.81
2022/10/14,La Pocatière,0,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-Vous Affaires 2022 MLKRDL,49.01
2022/10/14,La Pocatière,0,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-vous Affaires 2022 MLKRDL,49.01
2022/10/14,La Pocatière,0,To meet constituents,Hosting a town hall or community event,M0316665,Rendez-vous Affaires 2022 MLKRDL,98.02
2022/10/15,La Pocatière-Station,1,To meet constituents,Community activity or event,M0316495,Club Richelieu La Pocatière,200.00
2022/10/16,La Pocatière-Station,1,To meet constituents,Community activity or event,M0316495,Polyvalente de La Pocatière,36.00
2022/10/22,La Pocatière,0,To meet constituents,"Gala, reception or ceremony",M0318081,Club FADOQ La Pocatière,40.00
2022/10/28,Saint-Alexandre-de-Kamouraska,0,To meet constituents,"Gala, reception or ceremony",M0318081,Club des 50 ans et plus de Saint-Alexandre,20.00
