Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0320856,COSTCO,7.49
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0318967,Costco,23.98
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0322785,COSTCO,7.49
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0318967,Petro-Canada,7.49
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0317106,Ultramar,4.89
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0318967,Mayrand,7.49
2022/08/20,Montreal,1,To celebrate a significant event,"Gala, reception or ceremony",M0318967,XXI Congresso Alpini Nord America,270.00
2022/09/29,Laval,1,To meet constituents,"Gala, reception or ceremony",M0317106,Soiree Gala CIBC,250.00
2022/11/07,Laval,2,To exchange with dignitaries,Hosting a town hall or community event,M0320856,Restaurant Village Grec,41.00
2022/11/11,Laval,2,To meet constituents,Hosting a meeting,M0320856,Le Vieux Four de Laval,91.00
2022/11/12,Laval,0,To meet constituents,Community activity or event,M0322777,Theatre MC,50.00
