Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/05/24,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320970,Rexall,14.48
2022/05/26,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318893,Rexall,11.48
2022/06/15,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318893,Rexall,12.98
2022/09/08,Hampton,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0314704,Berc's Cookhouse,89.27
2022/09/20,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Walmart,18.95
2022/09/20,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Gourmet Market,8.95
2022/09/20,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Rexall,6.49
2022/09/26,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318893,Rexall,7.49
2022/09/27,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Walmart,3.47
2022/10/12,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Gourmet Market,3.90
2022/10/15,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Walmart,3.97
2022/10/17,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318893,Rexall,17.63
2022/10/24,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Gourmet Market,3.90
2022/10/24,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Walmart,3.97
2022/10/30,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0319509,Independent,5.99
2022/10/31,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0318893,Rexall,7.49
2022/11/26,Hampton,62,To celebrate a significant event,Hosting a reception or open house,M0321995,Spuds N Things,70.00
2022/12/14,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a staff event,M0323886,Baton Rouge,123.75
