Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/09/14,Charlesbourg,1,To meet constituents,Community activity or event,M0315681,Club Lions Québec Nord,125.00
2022/09/29,Montréal,1,To discuss constituency issues with stakeholders,Community activity or event,M0314908,CORIM,210.00
2022/10/13,Kamouraska (MRC / RCM),1,To meet constituents,Community activity or event,M0318062,Chambre de commerce Kamouraska-L'Islet,247.00
2022/10/15,Charlesbourg,1,To meet constituents,Community activity or event,M0317248,Chevaliers de Colomb Conseil 11693 Charles-Neuf,60.00
2022/10/22,Charlesbourg,1,To meet constituents,Community activity or event,M0317504,Fondation de l'église Saint-Charles-Borromée de Charlesbourg,110.00
2022/10/22,Charlesbourg,3,To meet constituents,Community activity or event,M0318313,Comité Paroissial de Saint-Émile Inc.,140.00
2022/10/25,Charlesbourg,0,To discuss constituency issues with stakeholders,Community activity or event,M0318221,La Fondation du Cegep Limoilou,75.00
2022/11/22,Charlesbourg,1,To meet constituents,"Gala, reception or ceremony",M0318219,FONDATION DU PATRO DE CHARLESBOURG,250.00
2022/11/30,Charlesbourg,1,To meet constituents,Community activity or event,M0321298,Fondation Saint-Jean-Eudes,190.00
2022/12/03,Charlesbourg,3,To meet constituents,Community activity or event,M0322602,Fabrique Saint-Charles-Borromée,80.00
