Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Grande Prairie,0,To meet visitors of Member’s office,Hosting a meeting,M0321011,Costco Wholesale,76.98
2022/06/15,Grande Prairie,4,To meet constituents,Hosting a meeting,M0319570,Better than Fred's,92.37
2022/07/28,Grande Prairie,8,To meet constituents,Hosting a meeting,M0316522,Pizza Hut,65.16
2022/08/03,Grande Prairie,6,To meet constituents,Hosting a meeting,M0316522,Prairie Asian Bistro,122.64
2022/08/09,Grande Prairie,2,To meet constituents,Hosting a meeting,M0316522,A&W,24.28
2022/09/17,Grande Prairie,3,To meet constituents,Hosting a meeting,M0316522,Prairie Asian Bistro,50.87
2022/10/02,Ottawa,3,To meet constituents,Hosting a meeting,M0316522,Baton Rouge,101.09
2022/10/14,Okotoks,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0317791,Heartland,285.03
2022/11/05,Grande Prairie,40,To meet constituents,Hosting a reception or open house,M0320692,Costco,264.02
2022/11/05,Grande Prairie,40,To meet constituents,Hosting a reception or open house,M0320692,Real Canadian Superstore,27.65
2022/11/18,Grande Prairie,3,To meet constituents,Hosting a meeting,M0321306,Soto Japan,118.64
2022/11/21,Ottawa,2,To meet constituents,Hosting a meeting,M0321306,Social,141.40
2022/11/22,Ottawa,3,To meet constituents,Hosting a meeting,M0321532,milestones,134.18
2022/11/23,Ottawa,2,To meet constituents,Hosting a meeting,M0321532,Tosca Restaurant,96.87
2022/12/14,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a meeting,M0323862,Tim Hortons,139.77
2022/12/17,Grande Prairie,35,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0324174,Costco,285.03
