Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Dollard-des-Ormeaux,0,To meet visitors of Member’s office,Hosting a meeting,M0317728,Nespresso,55.75
2022/04/01,Dollard-des-Ormeaux,0,To meet visitors of Member’s office,Hosting a meeting,M0320749,Nespresso,114.80
2022/07/02,Montreal,4,To meet constituents,Hosting a meeting,M0320004,Juliette et chocolat,79.81
2022/09/09,Pierrefonds-Roxboro,2,To celebrate a significant event,Community activity or event,M0317263,West Island Community Shares,40.00
2022/09/09,Pierrefonds-Roxboro,5,To attend staff events including training,Hosting a staff event,M0317728,Uber Eats,80.39
2022/09/10,Pierrefonds-Roxboro,2,To meet constituents,Hosting a meeting,M0317263,Cafe Ciociaro,11.23
2022/09/13,Dollard-Des Ormeaux,10,To meet visitors of Member’s office,Hosting a meeting,M0315436,Provigo,9.98
2022/09/14,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0317263,Issac's way,38.69
2022/09/15,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0320004,Ottawa Kabab,42.08
2022/09/17,Dollard-Des Ormeaux,400,To celebrate a significant event,Community activity or event,M0315431,"Achneepineskum, Norman",1400.00
2022/09/17,Dollard-Des Ormeaux,400,To celebrate a significant event,Community activity or event,M0315921,Aquaterra,25.47
2022/09/17,Dollard-Des Ormeaux,400,To celebrate a significant event,Community activity or event,M0315436,Costco Wholesale,616.61
2022/09/17,Dollard-des-Ormeaux,10,To meet constituents,Hosting a meeting,M0317263,Restaurant 3 Amigos West Island,175.38
2022/09/17,Dollard-Des Ormeaux,400,To celebrate a significant event,Community activity or event,M0315347,Traiteur Tiguidou,2345.00
2022/09/17,Dollard-Des Ormeaux,400,To celebrate a significant event,Community activity or event,M0315436,Musique Red One Music,28.00
2022/09/23,Montreal,2,To meet constituents,Hosting a meeting,M0317263,Juliette et Chocolat,25.31
2022/09/28,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0317263,Le Moulin De Provence,8.40
2022/10/06,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0317263,Fairmont Chateau Laurier,36.10
2022/10/06,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0317263,Food Services,17.80
2022/10/07,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0317263,Fairmont Chateau Laurier,85.37
2022/10/13,Pierrefonds,3,To attend staff events including training,Hosting a staff event,M0317728,Shawarmaz,38.07
2022/10/14,Pierrefonds-Roxboro,15,To meet visitors of Member’s office,Hosting a meeting,M0317728,St Max Pizza,78.00
2022/10/24,Montreal,0,To celebrate a significant event,Community activity or event,M0320197,CMLA National muslim legal conference,80.00
2022/10/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320197,Food Services,89.85
2022/10/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320779,House of Commons Food Services — Services de restauration de la Chambre des communes,82.50
2022/10/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320197,Food Services HOC,8.60
2022/10/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0320197,Starbucks,29.70
2022/10/28,Ottawa,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0320004,Restaurant Venice,380.29
2022/10/28,Ottawa,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0320004,Food Services,122.50
2022/11/01,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0320004,Thali coconut lagoon,44.53
2022/11/03,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0320004,Mezbaan Restaurant,35.98
2022/11/04,Pierrefonds,6,To meet constituents,Hosting a meeting,M0320004,Chez Mory,113.45
2022/11/05,Ottawa,60,To meet visitors of Member’s office,Hosting a meeting,M0319826,House of Commons Food Services — Services de restauration de la Chambre des communes,289.85
2022/11/18,Pierrefonds-Roxboro,5,To attend staff events including training,Hosting a staff event,M0324200,Poulet Rogue,76.95
2022/11/18,Pierrefonds-Roxboro,4,To attend staff events including training,Hosting a staff event,M0324200,Lafrenaie West Island,72.19
2022/11/25,Pierrefonds-Roxboro,4,To attend staff events including training,Hosting a staff event,M0324247,Poulet Rouge,60.36
2022/11/27,Montreal,1,To celebrate a significant event,Community activity or event,M0320836,Cantabile,44.00
2022/12/02,Pierrefonds-Roxboro,4,To attend staff events including training,Hosting a staff event,M0324200,Tandoori Et Grille,47.97
2022/12/09,Pierrefonds-Roxboro,5,To attend staff events including training,Hosting a staff event,M0324247,Croissant Monkland,16.70
2022/12/09,Pierrefonds-Roxboro,5,To attend staff events including training,Hosting a staff event,M0324247,Doordash - B12 Burger,99.51
