Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/11/23,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0325119,House of Commons Food Services — Services de restauration de la Chambre des communes,111.20
2021/11/30,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0325119,House of Commons Food Services — Services de restauration de la Chambre des communes,52.25
2022/06/09,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0334357,Food Services House of Commons,54.00
2022/06/22,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0334357,Play Food & Wine,180.00
2022/08/19,Toronto,40,To celebrate a significant event,Hosting a town hall or community event,M0325125,Dollarama,31.00
2022/08/19,Toronto,40,To celebrate a significant event,Hosting a town hall or community event,M0325125,Loblaws,16.99
2022/11/19,Toronto,60,To meet constituents,Hosting a town hall or community event,M0333019,Loblaws,60.19
2022/12/19,Toronto,6,To celebrate a significant event,Hosting a staff event,M0324581,Oakwood Hardware Food and Drink,402.13
2023/01/29,Toronto,130,To meet constituents,Hosting a town hall or community event,M0328051,"Casa Loma ",2175.00
2023/02/12,Toronto,30,To meet constituents,Hosting a town hall or community event,M0333019,Tim Hortons,23.88
2023/02/23,Toronto,4,To meet constituents,Hosting a meeting,M0333019,Starbucks Canada,4.60
2023/03/10,Toronto,60,To celebrate a significant event,Hosting a town hall or community event,M0334151,Dollorama,31.00
2023/03/10,Toronto,4,To celebrate a significant event,Hosting a staff event,M0333019,"Uber Eats - Pi Co Pizza Bar ",57.95
2023/03/10,Toronto,60,To celebrate a significant event,Hosting a town hall or community event,M0334357,Dave Young Fruit Market,134.90
2023/03/10,Toronto,60,To celebrate a significant event,Hosting a town hall or community event,M0333019,Metro,137.61
2023/03/18,Toronto,60,To meet constituents,Hosting a town hall or community event,M0334151,Dollorama,47.58
2023/03/18,Toronto,60,To meet constituents,Hosting a town hall or community event,M0334151,Flying Pixie Music Productions,375.00
2023/03/18,Toronto,60,To meet constituents,Hosting a town hall or community event,M0334151,McSorley's Bar and Grill,334.09
2023/03/30,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a staff event,M0335697,"Independent Grocery ",58.89
