Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/12/02,Gatineau,2000,To celebrate a significant event,Hosting a town hall or community event,M0324602,Dollarama,24.33
2022/12/02,Gatineau,2000,To celebrate a significant event,Community activity or event,M0324602,Michaels,79.34
2022/12/02,Gatineau,2000,To celebrate a significant event,Hosting a town hall or community event,M0324602,Costco,127.92
2022/12/02,Gatineau,2000,To celebrate a significant event,Hosting a town hall or community event,M0324602,Canadian tire,114.98
2023/01/10,Gatineau,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0327344,café Cognac,98.20
2023/01/12,Chelsea,5,To plan Member's priorities and activities,Hosting a meeting,M0327346,Chelsea Pub,179.25
2023/01/16,Gatineau,10,To meet constituents,Hosting a meeting,M0331944,Walmart,53.72
2023/01/24,Maniwaki,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0330819,Resto Le Notre dame,577.85
2023/02/09,Gatineau,26,To attend staff events including training,Hosting a meeting,M0330129,Pizza La différence,246.29
2023/02/23,Chapeau,24,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0331498,Pine Lodge,409.43
2023/02/23,Chapeau,24,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0331498,L'Ancienne banque,733.23
2023/03/28,Ottawa,7,To celebrate a significant event,Hosting a meeting,M0335506,East Indian Company,180.96
