Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0328503,Super C,62.77
2022/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0333935,Dépanneur Video des Iles,9.99
2022/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0335069,Super C,59.98
2022/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0333953,Couche-Tard 1099,10.08
2022/04/01,Salaberry-de-Valleyfield,0,To meet visitors of Member’s office,Hosting a meeting,M0329164,Metro,24.14
2022/11/09,Ormstown,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0327231,Taverne de la ferme,213.21
2022/12/14,Ottawa,4,To attend staff events including training,Hosting a staff event,M0324828,Service de restauration de la Chambre des Communes,322.49
2022/12/15,Gatineau,1,To plan Member's priorities and activities,Hosting a meeting,M0324881,Resto Chez Mo-Nik,21.87
2022/12/22,Salaberry-de-Valleyfield,2,To plan Member's priorities and activities,Hosting a meeting,M0324881,Tot ou tard café-Buvette,137.11
2023/01/14,Saint-Clet,1,To meet constituents,Community activity or event,M0327231,Club Âge d'Or St-Clet,50.00
2023/01/18,Beauharnois,1,To meet constituents,Hosting a meeting,M0327231,Les Jacasseuses 2,41.98
2023/01/21,Salaberry-de-Valleyfield,24,To meet constituents,Community activity or event,M0329101,Club de gymnastique CampiAgile Inc. & Sparks cheerleading All-Stars,360.00
2023/01/25,Huntingdon,1,To celebrate a significant event,"Gala, reception or ceremony",M0327231,CDC du Haut-Laurent,40.00
2023/01/27,Salaberry-de-Valleyfield,5,To attend staff events including training,Hosting a staff event,M0328503,Restaurant Jazz,284.84
2023/01/28,Sainte-Justine,1,To meet constituents,Community activity or event,M0329164,Loisirs de Ste-Justine de Newton,80.00
2023/01/28,Huntingdon,1,To meet constituents,Community activity or event,M0328503,Club Optimiste de Huntingdon,160.00
2023/01/29,Saint-Louis-de-Gonzague,1,To meet constituents,Community activity or event,M0328503,Municipalité St-Louis de Gonzague,40.00
2023/02/02,Salaberry-de-Valleyfield,2,To meet constituents,Community activity or event,M0329164,Club Salaberry,150.00
2023/02/16,Salaberry-de-Valleyfield,6,To meet constituents,Hosting a town hall or community event,M0331126,Club Rotary,95.00
2023/02/17,Salaberry-de-Valleyfield,4,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0331126,Restaurant Jazz,104.94
2023/03/10,Salaberry-de-Valleyfield,5,To plan Member's priorities and activities,Hosting a meeting,M0333935,Mikes Valleyfield,127.21
2023/03/11,Saint-Anicet,15,To meet constituents,Hosting a town hall or community event,M0333935,Dollarama,16.00
2023/03/12,Saint-Anicet,1,To celebrate a significant event,Hosting a town hall or community event,M0333953,Centre Communautaire de St-Anicet,40.00
2023/03/13,Salaberry-de-Valleyfield,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0333935,St-Hubert Valleyfield,186.96
2023/03/14,Vaudreuil-Dorion,2,To meet constituents,Community activity or event,M0331319,Chambre de Commerce Vaudreuil-Soulanges,270.00
2023/03/15,Saint-Clet,1,To meet constituents,Hosting a town hall or community event,M0333953,Dîner Partager St-Clet,26.00
2023/03/15,Salaberry-de-Valleyfield,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0333935,La Petite Grange,22.90
2023/03/17,Salaberry-de-Valleyfield,5,To plan Member's priorities and activities,Hosting a meeting,M0335069,La Petite Grange,108.85
2023/03/18,Ormstown,1,To meet constituents,Hosting a town hall or community event,M0333953,Légion Royal Canadianne de Ormstown,40.00
2023/03/23,Salaberry-de-Valleyfield,2,To meet constituents,Community activity or event,M0335069,Club Salaberry de Valleyfield,125.00
2023/03/30,Saint-Louis-de-Gonzague,1,To meet constituents,Community activity or event,M0335060,Reseau AgriConseils Montérégie Ouest,160.00
