Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/03/23,Winnipeg,20,To meet constituents,Hosting a meeting,M0327606,Canadian Tire,18.86
2022/06/29,Winnipeg,2,To meet constituents,Hosting a meeting,M0335753,Cora St Vital,24.09
2022/07/16,Winnipeg,3,To meet constituents,Hosting a meeting,M0336280,Stella's,69.34
2022/08/07,Winnipeg,3,To meet constituents,Hosting a meeting,M0335753,Cora St Vital,62.94
2022/08/08,Winnipeg,15,To meet constituents,Hosting a meeting,M0325074,Sobeys,54.73
2022/08/08,Winnipeg,15,To meet constituents,Hosting a meeting,M0336280,Stella's,48.98
2022/08/19,Winnipeg,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336280,Earl's,47.62
2022/12/11,Winnipeg,130,To celebrate a significant event,Hosting a town hall or community event,M0325336,Canad Inn Fort Garry,1134.16
2022/12/20,Winnipeg,35,To meet constituents,Hosting a reception or open house,M0325675,"Sobey's ",90.76
2023/01/18,Winnipeg,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0333171,Sobeys,17.23
2023/02/10,Winnipeg,5,To meet constituents,Hosting a meeting,M0335463,Sobeys,22.99
2023/03/10,Winnipeg,20,To meet visitors of Member’s office,Hosting a reception or open house,M0335463,Sobeys,67.43
