Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Whitehorse,0,To meet visitors of Member’s office,Hosting a meeting,M0331731,"Nespresso ",28.70
2022/06/22,Ottawa,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0320631,Food Services,174.75
2022/11/10,Whitehorse,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0320631,Panago #230 Whitehorse,37.00
2023/01/06,Whitehorse,6,To exchange with dignitaries,Hosting a meeting,M0320631,Burnt Toast Cafe,135.52
2023/01/06,Whitehorse,50,To meet constituents,Hosting a reception or open house,M0325808,Chef Angelo,525.00
2023/01/06,Whitehorse,2,To exchange with dignitaries,Community activity or event,M0320631,Yukon Wildlife Preserve Operating Society,70.00
2023/01/07,Whitehorse,100,To meet constituents,Community activity or event,M0336882,CITY OF WHITEHORSE,374.05
2023/01/07,Whitehorse,100,To meet constituents,Community activity or event,M0325808,Tim Horton,46.98
2023/01/07,Whitehorse,100,To meet constituents,Community activity or event,M0325808,Your Independent Grocer,7.98
2023/01/08,Dawson,15,To meet constituents,Hosting a reception or open house,M0325808,Klondike Institute of Art and Culture,200.00
2023/01/10,Whitehorse,20,To celebrate a significant event,Hosting a reception or open house,M0325808,Northern Lights Bowling,130.00
2023/01/10,Whitehorse,5,To exchange with dignitaries,Hosting a meeting,M0320631,The Railwork Lounge,36.30
2023/02/18,Whitehorse,25,To meet constituents,Community activity or event,M0330387,Association Franco-Yukonnaise (AFY),40.00
2023/02/18,Whitehorse,300,To meet constituents,Hosting a town hall or community event,M0330387,"Tim Hortons ",18.62
2023/02/21,Whitehorse,6,To meet constituents,Hosting a meeting,M0330387,The Coffee Shop,60.25
2023/02/21,Whitehorse,50,To celebrate a significant event,Community activity or event,M0330387,Yukon Rendezvous,60.00
2023/02/23,Whitehorse,150,To celebrate a significant event,Community activity or event,M0330387,Yukon Rendezvous,105.00
2023/03/03,Whitehorse,50,To exchange with dignitaries,Community activity or event,M0330387,Eventbrite,65.03
2023/03/14,Whitehorse,1,To meet constituents,Community activity or event,M0334774,ElderActive Recreation Association,66.56
