Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0326288,Couche tard 739,11.88
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0332843,Noula Coop,176.00
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0327972,Couche-Tard,5.20
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0337038,Noula Café,176.00
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0337083,Couche tard,4.89
2022/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0327972,Depanneur arc en ciel,5.75
2022/09/12,Granby,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0337038,C'est belge,28.00
2022/10/03,Granby,6,To attend staff events including training,Hosting a staff event,M0331994,Noula Coop,91.00
2022/10/25,Bromont,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0332843,Le MacIntosh Pub,37.52
2022/11/07,Granby,2,To plan Member's priorities and activities,Hosting a meeting,M0337083,Casa grecque,28.74
2022/11/11,Granby,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0327972,Tim Horton,8.49
2022/11/22,Granby,5,To plan Member's priorities and activities,Hosting a staff event,M0334489,Couche tard,5.19
2022/12/01,Granby,6,To attend staff events including training,Hosting a staff event,M0331994,Noula Coop,85.00
2022/12/09,Granby,5,To plan Member's priorities and activities,Hosting a staff event,M0334489,Couche tard,5.19
2023/01/25,Granby,6,To plan Member's priorities and activities,Hosting a meeting,M0334489,Couche tard,11.88
2023/02/11,Granby,2,To celebrate a significant event,Community activity or event,M0337038,L'Oeil dans le noir,50.00
2023/02/18,Granby,2,To celebrate a significant event,Community activity or event,M0337038,Fabrique de St-Joachim-de-Shefford,40.00
2023/02/24,Granby,5,To plan Member's priorities and activities,Hosting a staff event,M0334489,Noula Coop,88.00
2023/03/02,Granby,5,To plan Member's priorities and activities,Hosting a staff event,M0334489,Couche tard,12.28
2023/03/03,Longueuil,1,To celebrate a significant event,"Gala, reception or ceremony",M0332652,FRAQ,160.00
2023/03/16,Granby,5,To plan Member's priorities and activities,Hosting a staff event,M0334489,Couche tard,12.28
2023/03/24,Granby,4,To meet constituents,Hosting a town hall or community event,M0332843,Le St-Ambroise,85.59
2023/03/25,Granby,2,To meet constituents,Community activity or event,M0337038,Chevaliers de Colomb Granby,50.00
2023/03/31,Granby,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332843,Resto du 9,27.53
