Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/10/13,Montréal,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0331656,L'Oeuffrier HOMA,22.39
2022/12/16,Montreal,7,To plan Member's priorities and activities,Hosting a meeting,M0324390,État-Major,512.95
2022/12/21,Montréal,2,To meet constituents,Hosting a meeting,M0331650,Elsdale,21.73
2023/01/12,Montreal (DO NOT USE/NE PAS UTILISER),6,To plan Member's priorities and activities,Hosting a meeting,M0328709,Super C,1.99
2023/01/18,Montreal (DO NOT USE/NE PAS UTILISER),7,To plan Member's priorities and activities,Hosting a meeting,M0328743,Ryo Sushi et Ryo Poké Bols (Rosemont),146.66
2023/01/18,Montreal (DO NOT USE/NE PAS UTILISER),7,To plan Member's priorities and activities,Hosting a meeting,M0328743,Café Pépinière,23.16
2023/01/23,Montréal,6,To plan Member's priorities and activities,Hosting a meeting,M0328709,Super C,4.20
2023/01/30,Montréal,6,To plan Member's priorities and activities,Hosting a meeting,M0328709,Super C,17.99
2023/02/15,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0331650,Restaurant parlementaire,84.20
2023/02/18,Montréal,7,To plan Member's priorities and activities,Hosting a meeting,M0331654,Super C,23.68
2023/02/24,Montréal,22,To discuss constituency issues with stakeholders,Hosting a meeting,M0331654,Super C,18.25
2023/02/27,Montréal,10,To exchange with dignitaries,Hosting a town hall or community event,M0331654,Bagatelle Bistro,29.31
2023/02/27,Montréal,10,To exchange with dignitaries,Hosting a town hall or community event,M0331650,Bagatelle Bistro,38.69
2023/03/03,Montréal,7,To plan Member's priorities and activities,Hosting a meeting,M0331654,Maxi,21.48
2023/03/22,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0336437,Restaurant parlementaire,11.70
