Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Victoriaville,0,To meet visitors of Member’s office,Hosting a meeting,M0335981,Super C,68.61
2022/04/01,Victoriaville,0,To meet visitors of Member’s office,Hosting a meeting,M0330491,IGA,36.28
2022/04/01,Victoriaville,0,To meet visitors of Member’s office,Hosting a meeting,M0329743,IGA,14.98
2022/04/01,Victoriaville,0,To meet visitors of Member’s office,Hosting a meeting,M0335981,Jean Coutu,21.98
2022/04/01,Victoriaville,0,To meet visitors of Member’s office,Hosting a meeting,M0329743,SuperC,17.76
2022/05/03,Ottawa,5,To meet constituents,Hosting a meeting,M0329422,Loblaws,52.48
2022/11/27,Tingwick,1,To meet constituents,Community activity or event,M0321887,FDI Cercle Notre-Dame de la Paix,50.00
2022/12/12,Victoriaville,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0324204,Coco Frutti Victoriaville,32.41
2022/12/19,Victoriaville,1,To plan Member's priorities and activities,Hosting a meeting,M0325048,DYBYB'S Café-Bistro,45.81
2022/12/21,Victoriaville,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0325048,Resto La Pomme Verte,26.29
2022/12/21,Victoriaville,75,To meet constituents,Community activity or event,M0327646,Marie Lainesse,200.00
2022/12/22,Victoriaville,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0325047,Restaurant St-Hubert,145.30
2023/01/12,Victoriaville,1,To meet constituents,Community activity or event,M0325994,CCIBFE,160.00
2023/01/13,Wotton,1,To meet constituents,Community activity or event,M0330491,FADOQ - Wotton,50.00
2023/01/23,Victoriaville,5,To plan Member's priorities and activities,Hosting a meeting,M0327620,Restaurant St-Hubert,111.20
2023/01/23,Victoriaville,1,To meet constituents,Hosting a town hall or community event,M0326010,Les Jardins du Parc Linéaire,28.27
2023/01/25,Victoriaville,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0329745,Le Luxor,35.00
2023/01/27,Victoriaville,2,To meet constituents,Community activity or event,M0327746,Richelieu Victoriaville,300.00
2023/01/28,Val-des-Sources,0,To meet constituents,Community activity or event,M0328167,CLUB OPTIMISTE D'ASBESTOS INC.,75.00
2023/02/07,Victoriaville,1,To plan Member's priorities and activities,Hosting a meeting,M0329745,Resto Le Gavroche,48.30
2023/02/22,Victoriaville,2,To plan Member's priorities and activities,Hosting a meeting,M0331764,La Farniente,20.01
2023/02/22,Victoriaville,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0331764,Le Luxor,36.21
2023/02/27,Victoriaville,5,To plan Member's priorities and activities,Hosting a meeting,M0331784,Tim Hortons,40.18
2023/03/07,Val-des-Sources,0,To meet constituents,Community activity or event,M0330491,Chambre de Commerce et d'Entrepreneuriat des Sources,20.00
2023/03/15,Victoriaville,1,To meet constituents,Community activity or event,M0333801,Chambre de commerce et d'industrie Bois-Francs / Érable,50.00
2023/03/15,Victoriaville,2,To meet constituents,Hosting a meeting,M0333833,DYBB'S,31.23
2023/03/21,Victoriaville,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0333833,Restaurant La Shoppe,66.83
2023/03/25,Victoriaville,1,To meet constituents,Community activity or event,M0334650,Le Club Lions de Warwick,150.00
2023/03/28,Victoriaville,3,To meet constituents,Hosting a meeting,M0335983,Le Luxor,114.06
