Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0327576,Super C,6.98
2022/11/23,Ottawa,450,To celebrate a significant event,Hosting a reception or open house,M0332875,Mask Productions,100.00
2022/12/02,Châteauguay,20,To meet constituents,Hosting a reception or open house,M0325177,L'Experience Chic Chef,191.00
2022/12/02,Châteauguay,20,To meet constituents,Hosting a reception or open house,M0325331,S.A.Q.,56.58
2022/12/02,Châteauguay,20,To meet constituents,Hosting a reception or open house,M0325331,Dollar Celebration,19.96
2022/12/03,Châteauguay,3,To meet constituents,Community activity or event,M0329158,Chateauguay Horizon Community Association,340.00
2023/01/11,Châteauguay,3,To exchange with dignitaries,Hosting a meeting,M0326730,Ye Olde Orchard,101.38
2023/01/13,Châteauguay,4,To plan Member's priorities and activities,Hosting a meeting,M0326636,Baba Hamdi Cuisine Egyptienne,144.09
2023/02/11,Saint-Rémi,1,To celebrate a significant event,Community activity or event,M0330459,Apprendre en coeur,100.00
2023/03/02,Châteauguay,12,To meet constituents,Hosting a town hall or community event,M0331700,Balboa,45.00
2023/03/02,Châteauguay,20,To meet constituents,Hosting a town hall or community event,M0331700,Royal Canadian Legion,20.00
2023/03/11,Châteauguay,8,To meet constituents,Community activity or event,M0333694,Montérégie West Community Network,40.00
2023/03/16,Saint-Rémi,12,To meet constituents,Hosting a town hall or community event,M0333332,Tim Horton's,49.97
2023/03/22,Châteauguay,0,To meet constituents,Community activity or event,M0336095,HÉRITAGE SAINT-BERNARD,50.00
