Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200514196,2021/07/01,2021/07/31,,,,,,,0.0000,-300.0000,0.0000,0,0,0,-300.00
200514196,2021/07/01,2021/07/31,"Jansen, Tamara",Member,Secondary Residence,2021/07/01,OTTAWA,OTTAWA,,,,,,,
200514195,2021/08/01,2021/08/31,,,,,,,0.0000,-300.0000,0.0000,0,0,0,-300.00
200514195,2021/08/01,2021/08/31,"Jansen, Tamara",Member,Secondary Residence,2021/08/01,OTTAWA,OTTAWA,,,,,,,
200507654,2021/08/01,2021/08/31,,,,,,,0.0000,2600.0000,0.0000,0,0,0,2600.00
200507654,2021/08/01,2021/08/31,"Jansen, Tamara",Member,Secondary Residence,2021/08/01,OTTAWA,OTTAWA,,,,,,,
200515705,2021/09/01,2021/09/30,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200515705,2021/09/01,2021/09/30,"Jansen, Tamara",Member,Secondary Residence,2021/09/01,OTTAWA,OTTAWA,,,,,,,
200519889,2021/10/01,2021/10/31,,,,,,,0.0000,2300.0000,0.0000,0,0,0,2300.00
200519889,2021/10/01,2021/10/31,"Jansen, Tamara",Member,Secondary Residence,2021/10/01,OTTAWA,OTTAWA,,,,,,,
