Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0216262,2021/05/10,2021/08/10,,,,,,,0.0000,123.4700,0.0000,0,0,0,123.47
T0216262,2021/05/10,2021/08/10,"Lametti, Hon. David",Member,Secondary Residence,2021/05/10,Ottawa,Ottawa,,,,,,,
T0216262,2021/05/10,2021/08/10,"Lametti, Hon. David",Member,Secondary Residence,2021/07/10,Ottawa,Ottawa,,,,,,,
T0216262,2021/05/10,2021/08/10,"Lametti, Hon. David",Member,Secondary Residence,2021/06/10,Ottawa,Ottawa,,,,,,,
T0217594,2021/10/18,2021/11/05,,,,,,,193.4700,0.0000,663.1200,1.0000,0,0,856.59
T0217594,2021/10/18,2021/11/05,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/10/18,Verdun,Ottawa,,,,,,,
T0217594,2021/10/18,2021/11/05,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/11/05,Ottawa,Verdun,,,,,,,
200524084,2021/11/01,2021/11/30,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200524084,2021/11/01,2021/11/30,"Lametti, Hon. David",Member,Secondary Residence,2021/11/01,OTTAWA,OTTAWA,,,,,,,
T0219867,2021/11/22,2021/12/03,,,,,,,386.9400,0.0000,519.2800,2.0000,0,0,906.22
T0219867,2021/11/22,2021/12/03,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/11/22,Verdun,Ottawa,,,,,,,
T0219867,2021/11/22,2021/12/03,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Verdun,,,,,,,
T0219867,2021/11/22,2021/12/03,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/11/29,Verdun,Ottawa,,,,,,,
T0219867,2021/11/22,2021/12/03,"Lametti, Hon. David",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Verdun,,,,,,,
200530326,2021/12/01,2021/12/31,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200530326,2021/12/01,2021/12/31,"Lametti, Hon. David",Member,Secondary Residence,2021/12/01,OTTAWA,OTTAWA,,,,,,,
200538518,2022/01/01,2022/01/31,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200538518,2022/01/01,2022/01/31,"Lametti, Hon. David",Member,Secondary Residence,2022/01/01,OTTAWA,OTTAWA,,,,,,,
