Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0227254,2022/03/13,2022/03/13,,,,,,,32.6700,0.0000,0.0000,0.0000,0,0,32.67
T0227254,2022/03/13,2022/03/13,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2022/03/13,Kelowna,Ottawa,,,,,,,
T0227247,2022/04/01,2022/04/08,,,,,,,1153.3600,0.0000,620.0900,0.5000,0,0,1773.45
T0227247,2022/04/01,2022/04/08,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Summerland,,,,,,,
400134736,2022/04/01,2022/04/30,,,,,,,0.0000,1151.0000,0.0000,0,0,0,1151.00
400134736,2022/04/01,2022/04/30,"Albas, Dan",Member,Secondary Residence,2022/04/01,OTTAWA,OTTAWA,,,,,,,
T0227402,2022/04/10,2022/04/23,,,,,,,323.5000,0.0000,0.0000,0.0000,0,0,323.50
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend meetings about constituency issues,2022/04/10,Summerland,West Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/23,West Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/23,Summerland,Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/23,Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/22,Summerland,Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/23,Summerland,Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend meetings about constituency issues,2022/04/10,West Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2022/04/12,Summerland,West Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2022/04/12,West Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend an event as a guest speaker,2022/04/20,Summerland,Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend an event as a guest speaker,2022/04/20,Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/22,Summerland,Kelowna,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/22,Kelowna,Summerland,,,,,,,
T0227402,2022/04/10,2022/04/23,"Albas, Dan",Member,To attend a constituency or community event,2022/04/23,Summerland,West Kelowna,,,,,,,
T0227374,2022/04/14,2022/04/16,,,,,,,463.6800,612.7300,281.5900,0,0.0000,0,1358.00
T0227374,2022/04/14,2022/04/16,"Albas, Dan",Member,To attend an event as a matter of protocol,2022/04/14,Summerland,Vancouver,,,,,,,
T0227374,2022/04/14,2022/04/16,"Albas, Dan",Member,To attend an event as a matter of protocol,2022/04/16,Vancouver,Summerland,,,,,,,
T0229167,2022/04/24,2022/05/19,,,,,,,1717.9200,0.0000,1619.3300,1.0000,0,0,3337.25
T0229167,2022/04/24,2022/05/19,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2022/04/24,Summerland,Ottawa,,,,,,,
T0229167,2022/04/24,2022/05/19,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2022/05/19,Ottawa,Summerland,,,,,,,
T0230443,2022/04/29,2022/06/10,,,,,,,278.6400,0.0000,198.5100,0.0000,0,0,477.15
T0230443,2022/04/29,2022/06/10,"Murphy, Robert",Employee,To conduct constituency office business,2022/04/29,West Kelowna,Kelowna,,,,,,,
T0230443,2022/04/29,2022/06/10,"Murphy, Robert",Employee,To conduct constituency office business,2022/06/10,Merritt,West Kelowna,,,,,,,
T0230443,2022/04/29,2022/06/10,"Murphy, Robert",Employee,To conduct constituency office business,2022/04/29,Kelowna,West Kelowna,,,,,,,
T0230443,2022/04/29,2022/06/10,"Murphy, Robert",Employee,To conduct constituency office business,2022/05/13,West Kelowna,Kelowna,,,,,,,
T0230443,2022/04/29,2022/06/10,"Murphy, Robert",Employee,To conduct constituency office business,2022/05/13,Kelowna,West Kelowna,,,,,,,
