Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0232222,2022/06/01,2022/06/30,,,,,,,0.0000,1697.5600,0.0000,0,0,0,1697.56
T0232222,2022/06/01,2022/06/30,"May, Elizabeth",Member,Secondary Residence,2022/06/01,Ottawa,Ottawa,,,,,,,
T0233830,2022/07/01,2022/07/02,,,,,,,1332.7000,0.0000,0.0000,0.0000,0,0,1332.70
T0233830,2022/07/01,2022/07/02,"May, Elizabeth",Member,To attend a constituency or community event,2022/07/01,Sidney,Saturna,,,,,,,
T0233830,2022/07/01,2022/07/02,"May, Elizabeth",Member,To attend meetings about constituency issues,2022/07/01,Galiano,Sidney,,,,,,,
T0233830,2022/07/01,2022/07/02,"May, Elizabeth",Member,To attend a constituency or community event,2022/07/02,Sidney,Saltspring Island Land District,,,,,,,
T0233830,2022/07/01,2022/07/02,"May, Elizabeth",Member,To attend a constituency or community event,2022/07/02,Saltspring Island Land District,Sidney,,,,,,,
T0232223,2022/07/01,2022/07/31,,,,,,,0.0000,1697.5600,0.0000,0,0,0,1697.56
T0232223,2022/07/01,2022/07/31,"May, Elizabeth",Member,Secondary Residence,2022/07/01,Ottawa,Ottawa,,,,,,,
T0233844,2022/07/31,2022/07/31,,,,,,,216.3600,0.0000,94.6600,0,0.0000,0,311.02
T0233844,2022/07/31,2022/07/31,"Lewis, Alexa",Employee,Attending event with Member,2022/07/31,Sidney,Vancouver,,,,,,,
T0233844,2022/07/31,2022/07/31,"Lewis, Alexa",Employee,Attending event with Member,2022/07/31,Vancouver,Sidney,,,,,,,
T0233202,2022/08/01,2022/08/31,,,,,,,0.0000,1697.5600,0.0000,0,0,0,1697.56
T0233202,2022/08/01,2022/08/31,"May, Elizabeth",Member,Secondary Residence,2022/08/01,Ottawa,Ottawa,,,,,,,
