Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0207655,2020/11/02,2020/11/20,,,,,,,27.4400,0.0000,0.0000,0,0,0,27.44
T0207655,2020/11/02,2020/11/20,"Rood, Lianne",Member,To travel to/from constituency and Ottawa,2020/11/14,Grand Bend,Ottawa,,,,,,,
T0208816,2020/11/30,2020/12/11,,,,,,,345.5500,0.0000,717.1400,0.5000,0,0,1062.69
T0208816,2020/11/30,2020/12/11,"Rood, Lianne",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Grand Bend,,,,,,,
T0209017,2020/12/01,2021/01/22,,,,,,,0.0000,1634.9500,0.0000,0,0,0,1634.95
T0209017,2020/12/01,2021/01/22,"Rood, Lianne",Member,Secondary Residence,2020/12/23,Ottawa,Ottawa,,,,,,,
T0209017,2020/12/01,2021/01/22,"Rood, Lianne",Member,Secondary Residence,2020/12/01,Ottawa,Ottawa,,,,,,,
T0209107,2020/12/12,2021/01/05,,,,,,,742.9400,0.0000,37.5900,0.0000,0,0,780.53
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To attend a constituency or community event,2020/12/12,Lambton Shores,Ilderton,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/18,Chatham-Kent,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/21,Lambton Shores,Strathroy,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/21,Strathroy,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/24,Lambton Shores,Strathroy,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/24,Strathroy,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/29,Lambton Shores,Ilderton,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/29,Ilderton,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/30,Lambton Shores,Chatham-Kent,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/30,Chatham-Kent,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/31,Lambton Shores,Strathroy,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To attend a constituency or community event,2020/12/12,Ilderton,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2020/12/31,Strathroy,Lambton Shores,,,,,,,
T0209107,2020/12/12,2021/01/05,"Rood, Lianne",Member,To conduct constituency office business,2021/01/05,Lambton Shores,Strathroy,,,,,,,
