Supplier,Description,Date,Total
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/03/21,66.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,208.31
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2021/03/25,3.18
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/04/16,59.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/05/14,59.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/06/11,59.00
"Tribune Canadienne Grecque 1990 Ltée, La",Advertising,2021/07/01,50.00
Videotron,Changes to Voice Communication Services and Equipment,2021/07/16,59.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/08/13,59.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/09/17,59.00
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/01,137.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,2.02
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/10/02,136.86
"Revue Nez Rouge, La",Advertising,2021/10/04,135.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/10/15,59.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,134.52
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/11/02,1.98
Groupe Gay Globe,Advertising,2021/11/10,323.75
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/11/12,66.00
English Montreal School Board – Commission Scolaire English-Montréal,Advertising,2021/11/18,121.42
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2021/12/01,64.92
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2021/12/01,18.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/12/01,111.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,138.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2021/12/02,2.04
Il Cittadino Canadese,Advertising,2021/12/14,60.00
"NORTH AMERICAN FILIPINO STAR,",Advertising,2021/12/15,62.50
Community Contact,Advertising,2021/12/17,75.00
Videotron,Employees’ Primary Residence Internet (COVID-19),2021/12/17,66.00
Métro Média,Advertising,2021/12/18,62.50
Le Guide S.E.N.C.,Advertising,2021/12/20,125.00
