Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0224763,2021/10/06,2022/03/12,,,,,,,266.3900,0.0000,0.0000,0.0000,0,0,266.39
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2021/10/16,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/01/30,Nisku,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To attend meetings about constituency issues,2022/02/05,Edmonton,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/02/07,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To attend meetings about constituency issues,2022/02/05,Edmonton,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/02/14,Nisku,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/03/07,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To attend meetings about constituency issues,2022/02/11,Edmonton,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To attend meetings about constituency issues,2022/02/11,Edmonton,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To attend meetings about constituency issues,2022/02/11,Edmonton,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2021/10/31,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2021/12/06,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2021/12/12,Nisku,Edmonton,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/01/12,Edmonton,Nisku,,,,,,,
T0224763,2021/10/06,2022/03/12,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/01/30,Edmonton,Nisku,,,,,,,
T0227457,2022/03/09,2022/04/25,,,,,,,0.0000,148.9800,0.0000,0,0,0,148.98
T0227457,2022/03/09,2022/04/25,"McCauley, Kelly",Member,Secondary Residence,2022/03/09,Ottawa,Ottawa,,,,,,,
T0227457,2022/03/09,2022/04/25,"McCauley, Kelly",Member,Secondary Residence,2022/03/26,Ottawa,Ottawa,,,,,,,
T0225144,2022/03/20,2022/03/25,,,,,,,2424.0700,0.0000,409.2900,1.0000,0,0,2833.36
T0225144,2022/03/20,2022/03/25,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/03/20,Edmonton,Ottawa,,,,,,,
T0225144,2022/03/20,2022/03/25,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Edmonton,,,,,,,
T0227276,2022/03/20,2022/03/29,,,,,,,2256.7400,0.0000,0.0000,1.0000,0,0,2256.74
T0227276,2022/03/20,2022/03/29,,Designated Traveller,To unite the family with the Member,2022/03/20,Edmonton,Ottawa,,,,,,,
T0227276,2022/03/20,2022/03/29,,Designated Traveller,To unite the family with the Member,2022/03/29,Ottawa,Edmonton,,,,,,,
400134830,2022/04/01,2022/04/30,,,,,,,0.0000,1665.2200,0.0000,0,0,0,1665.22
400134830,2022/04/01,2022/04/30,"McCauley, Kelly",Member,Secondary Residence,2022/04/01,OTTAWA,OTTAWA,,,,,,,
T0229062,2022/04/01,2022/05/25,,,,,,,0.0000,149.4400,0.0000,0,0,0,149.44
T0229062,2022/04/01,2022/05/25,"McCauley, Kelly",Member,Secondary Residence,2022/04/01,Ottawa,Ottawa,,,,,,,
T0229062,2022/04/01,2022/05/25,"McCauley, Kelly",Member,Secondary Residence,2022/04/26,Ottawa,Ottawa,,,,,,,
T0226760,2022/04/03,2022/04/08,,,,,,,2358.5600,0.0000,468.1700,1.0000,0,0,2826.73
T0226760,2022/04/03,2022/04/08,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/04/03,Edmonton,Ottawa,,,,,,,
T0226760,2022/04/03,2022/04/08,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Edmonton,,,,,,,
T0226970,2022/04/05,2022/04/07,,,,,,,580.0400,0.0000,0.0000,0.5000,0,0,580.04
T0226970,2022/04/05,2022/04/07,"Aboultaif, Brandon",Employee,To travel to/from constituency and Ottawa,2022/04/05,Edmonton,Ottawa,,,,,,,
T0227278,2022/04/18,2022/04/20,,,,,,,636.9300,235.3000,333.8900,0,0,0,1206.12
T0227278,2022/04/18,2022/04/20,"Staley, Eva",Employee,To travel to/from constituency and Ottawa,2022/04/18,Vancouver,Edmonton,,,,,,,
T0227278,2022/04/18,2022/04/20,"Staley, Eva",Employee,To travel to/from constituency and Ottawa,2022/04/18,Vancouver,Edmonton,,,,,,,
T0227278,2022/04/18,2022/04/20,"Staley, Eva",Employee,To travel to/from constituency and Ottawa,2022/04/20,Edmonton,Vancouver,,,,,,,
T0227277,2022/04/18,2022/04/20,,,,,,,422.1600,537.5000,218.1700,0,0.0000,0,1177.83
T0227277,2022/04/18,2022/04/20,"McCauley, Kelly",Member,To attend meetings with stakeholders about business of the House,2022/04/18,Edmonton,Jasper,,,,,,,
T0227277,2022/04/18,2022/04/20,"McCauley, Kelly",Member,To attend meetings with stakeholders about business of the House,2022/04/20,Jasper,Edmonton,,,,,,,
T0227879,2022/04/24,2022/04/30,,,,,,,2420.7500,0.0000,516.7400,1.0000,0,0,2937.49
T0227879,2022/04/24,2022/04/30,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/04/24,Edmonton,Ottawa,,,,,,,
T0227879,2022/04/24,2022/04/30,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/04/29,Ottawa,Edmonton,,,,,,,
T0228586,2022/05/01,2022/05/13,,,,,,,2256.7400,0.0000,0.0000,1.0000,0,0,2256.74
T0228586,2022/05/01,2022/05/13,,Designated Traveller,To unite the family with the Member,2022/05/01,Edmonton,Ottawa,,,,,,,
T0228586,2022/05/01,2022/05/13,,Designated Traveller,To unite the family with the Member,2022/05/13,Ottawa,Edmonton,,,,,,,
T0228545,2022/05/01,2022/05/14,,,,,,,2720.1500,0.0000,1343.5300,1.0000,0,0,4063.68
T0228545,2022/05/01,2022/05/14,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/05/01,Edmonton,Ottawa,,,,,,,
T0228545,2022/05/01,2022/05/14,"McCauley, Kelly",Member,To travel to/from constituency and Ottawa,2022/05/13,Ottawa,Edmonton,,,,,,,
200569638,2022/05/01,2022/05/31,,,,,,,0.0000,1665.2200,0.0000,0,0,0,1665.22
200569638,2022/05/01,2022/05/31,"McCauley, Kelly",Member,Secondary Residence,2022/05/01,OTTAWA,OTTAWA,,,,,,,
T0229063,2022/05/15,2022/05/20,,,,,,,2730.6900,0.0000,448.6200,1.0000,0,0,3179.31
