Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0238141,2022/09/08,2022/09/14,,,,,,,1097.6500,1778.6200,723.4400,0,1.0000,0,3599.71
T0238141,2022/09/08,2022/09/14,"Fonseca, Peter",Member,To attend a national caucus meeting,2022/09/08,Mississauga,Saint John,,,,,,,
T0238141,2022/09/08,2022/09/14,"Fonseca, Peter",Member,To attend a national caucus meeting,2022/09/14,Fredericton,Mississauga,,,,,,,
T0238157,2022/09/19,2022/09/21,,,,,,,504.8800,444.1400,310.0400,1.0000,0,0,1259.06
T0238157,2022/09/19,2022/09/21,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/09/19,Mississauga,Ottawa,,,,,,,
T0238157,2022/09/19,2022/09/21,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/09/21,Ottawa,Mississauga,,,,,,,
T0238159,2022/09/26,2022/09/28,,,,,,,504.8800,507.8700,310.0400,1.0000,0,0,1322.79
T0238159,2022/09/26,2022/09/28,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/09/26,Mississauga,Ottawa,,,,,,,
T0238159,2022/09/26,2022/09/28,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/09/28,Ottawa,Mississauga,,,,,,,
T0238154,2022/10/02,2022/10/04,,,,,,,519.7600,480.5700,320.7600,1.0000,0,0,1321.09
T0238154,2022/10/02,2022/10/04,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/10/02,Mississauga,Ottawa,,,,,,,
T0238154,2022/10/02,2022/10/04,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/10/04,Ottawa,Mississauga,,,,,,,
T0238139,2022/10/16,2022/10/20,,,,,,,519.7600,956.9600,534.6000,1.0000,0,0,2011.32
T0238139,2022/10/16,2022/10/20,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/10/16,Mississauga,Ottawa,,,,,,,
T0238139,2022/10/16,2022/10/20,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/10/20,Ottawa,Mississauga,,,,,,,
T0238773,2022/10/30,2022/11/03,,,,,,,519.7600,961.1400,484.0600,1.0000,0,0,1964.96
T0238773,2022/10/30,2022/11/03,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/10/30,Mississauga,Ottawa,,,,,,,
T0238773,2022/10/30,2022/11/03,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/03,Ottawa,Mississauga,,,,,,,
T0238775,2022/11/01,2022/11/01,,,,,,,769.6400,0.0000,0.0000,1.0000,0,0,769.64
T0238775,2022/11/01,2022/11/01,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/01,Ottawa,Mississauga,,,,,,,
T0238775,2022/11/01,2022/11/01,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/01,Toronto,Ottawa,,,,,,,
T0239729,2022/11/13,2022/11/17,,,,,,,519.7600,964.1700,468.6200,1.0000,0,0,1952.55
T0239729,2022/11/13,2022/11/17,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/13,Mississauga,Ottawa,,,,,,,
T0239729,2022/11/13,2022/11/17,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/17,Ottawa,Mississauga,,,,,,,
T0239728,2022/11/15,2022/11/16,,,,,,,811.3600,0.0000,0.0000,1.0000,0,0,811.36
T0239728,2022/11/15,2022/11/16,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/15,Ottawa,Mississauga,,,,,,,
T0239728,2022/11/15,2022/11/16,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/16,Mississauga,Ottawa,,,,,,,
T0240239,2022/11/20,2022/11/24,,,,,,,519.7600,928.7700,484.0600,1.0000,0,0,1932.59
T0240239,2022/11/20,2022/11/24,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/20,Mississauga,Ottawa,,,,,,,
T0240239,2022/11/20,2022/11/24,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/24,Ottawa,Mississauga,,,,,,,
T0240816,2022/11/27,2022/12/01,,,,,,,519.7600,898.1800,514.0200,1.0000,0,0,1931.96
T0240816,2022/11/27,2022/12/01,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/11/27,Mississauga,Ottawa,,,,,,,
T0240816,2022/11/27,2022/12/01,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/12/01,Ottawa,Mississauga,,,,,,,
T0241323,2022/12/04,2022/12/08,,,,,,,519.7600,835.2100,534.6000,1.0000,0,0,1889.57
T0241323,2022/12/04,2022/12/08,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/12/04,Mississauga,Ottawa,,,,,,,
T0241323,2022/12/04,2022/12/08,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/12/08,Ottawa,Mississauga,,,,,,,
T0242097,2022/12/11,2022/12/15,,,,,,,519.7600,961.1400,514.0200,1.0000,0,0,1994.92
T0242097,2022/12/11,2022/12/15,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/12/11,Mississauga,Ottawa,,,,,,,
T0242097,2022/12/11,2022/12/15,"Fonseca, Peter",Member,To travel to/from constituency and Ottawa,2022/12/15,Ottawa,Mississauga,,,,,,,
