Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200445731,2018/07/01,2019/03/31,,,,,,,0.0000,-5.9900,0.0000,0,0,0,-5.99
200445731,2018/07/01,2019/03/31,"Fast, Ed",Member,Secondary Residence,2018/07/01,OTTAWA,OTTAWA,,,,,,,
200445740,2019/04/01,2020/03/31,,,,,,,0.0000,17.3900,0.0000,0,0,0,17.39
200445740,2019/04/01,2020/03/31,"Fast, Ed",Member,Secondary Residence,2019/04/01,OTTAWA,OTTAWA,,,,,,,
200445752,2020/04/01,2020/07/31,,,,,,,0.0000,119.7200,0.0000,0,0,0,119.72
200445752,2020/04/01,2020/07/31,"Fast, Ed",Member,Secondary Residence,2020/04/01,OTTAWA,OTTAWA,,,,,,,
200445756,2020/08/01,2020/10/31,,,,,,,0.0000,203.9700,0.0000,0,0,0,203.97
200445756,2020/08/01,2020/10/31,"Fast, Ed",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0205849,2020/08/17,2020/09/30,,,,,,,0.0000,89.0800,0.0000,0,0,0,89.08
T0205849,2020/08/17,2020/09/30,"Fast, Ed",Member,Secondary Residence,2020/08/17,Ottawa,Ottawa,,,,,,,
T0205849,2020/08/17,2020/09/30,"Fast, Ed",Member,Secondary Residence,2020/09/01,Ottawa,Ottawa,,,,,,,
T0206800,2020/09/17,2020/10/31,,,,,,,0.0000,88.6400,0.0000,0,0,0,88.64
T0206800,2020/09/17,2020/10/31,"Fast, Ed",Member,Secondary Residence,2020/09/17,Ottawa,Ottawa,,,,,,,
T0206800,2020/09/17,2020/10/31,"Fast, Ed",Member,Secondary Residence,2020/10/01,Ottawa,Ottawa,,,,,,,
T0205859,2020/09/27,2020/10/02,,,,,,,2634.2600,0.0000,332.0500,1.0000,0,0,2966.31
T0205859,2020/09/27,2020/10/02,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/09/27,Abbotsford,Ottawa,,,,,,,
T0205859,2020/09/27,2020/10/02,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/10/02,Ottawa,Abbotsford,,,,,,,
T0207809,2020/10/17,2020/11/30,,,,,,,0.0000,87.2600,0.0000,0,0,0,87.26
T0207809,2020/10/17,2020/11/30,"Fast, Ed",Member,Secondary Residence,2020/11/01,Ottawa,Ottawa,,,,,,,
T0207809,2020/10/17,2020/11/30,"Fast, Ed",Member,Secondary Residence,2020/10/17,Ottawa,Ottawa,,,,,,,
200449011,2020/11/01,2020/11/30,,,,,,,0.0000,1768.3900,0.0000,0,0,0,1768.39
200449011,2020/11/01,2020/11/30,"Fast, Ed",Member,Secondary Residence,2020/11/01,OTTAWA,OTTAWA,,,,,,,
T0207812,2020/11/22,2020/11/27,,,,,,,2475.3500,0.0000,346.0300,1.0000,0,0,2821.38
T0207812,2020/11/22,2020/11/27,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/11/22,Abbotsford,Ottawa,,,,,,,
T0207812,2020/11/22,2020/11/27,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/11/27,Ottawa,Abbotsford,,,,,,,
200455911,2020/12/01,2020/12/31,,,,,,,0.0000,1768.3900,0.0000,0,0,0,1768.39
200455911,2020/12/01,2020/12/31,"Fast, Ed",Member,Secondary Residence,2020/12/01,OTTAWA,OTTAWA,,,,,,,
T0208381,2020/12/06,2020/12/11,,,,,,,2452.8200,0.0000,364.8200,1.0000,0,0,2817.64
T0208381,2020/12/06,2020/12/11,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/12/06,Abbotsford,Ottawa,,,,,,,
T0208381,2020/12/06,2020/12/11,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Abbotsford,,,,,,,
200461598,2021/01/01,2021/01/31,,,,,,,0.0000,1768.3900,0.0000,0,0,0,1768.39
200461598,2021/01/01,2021/01/31,"Fast, Ed",Member,Secondary Residence,2021/01/01,OTTAWA,OTTAWA,,,,,,,
