Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205897,2020/09/22,2020/09/25,,,,,,,85.8300,0.0000,0.0000,0,0,0,85.83
T0205897,2020/09/22,2020/09/25,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/09/22,Toronto,Ottawa,,,,,,,
T0205897,2020/09/22,2020/09/25,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Toronto,,,,,,,
T0207414,2020/10/04,2020/10/09,,,,,,,50.4500,0.0000,0.0000,0,0,0,50.45
T0207414,2020/10/04,2020/10/09,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/10/04,Toronto,Ottawa,,,,,,,
T0207414,2020/10/04,2020/10/09,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/10/09,Ottawa,Toronto,,,,,,,
T0209342,2020/11/22,2020/11/26,,,,,,,702.3800,740.7900,296.5600,1.0000,0,0,1739.73
T0209342,2020/11/22,2020/11/26,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/11/22,Toronto,Ottawa,,,,,,,
T0209342,2020/11/22,2020/11/26,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/11/26,Ottawa,Toronto,,,,,,,
T0209343,2020/11/29,2020/12/04,,,,,,,666.0400,928.6200,398.6200,1.0000,0,0,1993.28
T0209343,2020/11/29,2020/12/04,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/11/29,Toronto,Ottawa,,,,,,,
T0209343,2020/11/29,2020/12/04,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Toronto,,,,,,,
T0209344,2020/12/06,2020/12/11,,,,,,,666.0400,1102.6300,371.2900,1.0000,0,0,2139.96
T0209344,2020/12/06,2020/12/11,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/12/06,Toronto,Ottawa,,,,,,,
T0209344,2020/12/06,2020/12/11,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/12/11,Ottawa,Toronto,,,,,,,
T0209345,2020/12/15,2020/12/17,,,,,,,666.0400,375.6400,129.6000,1.0000,0,0,1171.28
T0209345,2020/12/15,2020/12/17,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/12/15,Toronto,Ottawa,,,,,,,
T0209345,2020/12/15,2020/12/17,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2020/12/17,Ottawa,Toronto,,,,,,,
T0211857,2021/03/07,2021/03/12,,,,,,,702.3600,969.8800,398.6200,1.0000,0,0,2070.86
T0211857,2021/03/07,2021/03/12,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2021/03/07,Toronto,Ottawa,,,,,,,
T0211857,2021/03/07,2021/03/12,"Mendicino, Marco",Member,To travel to/from constituency and Ottawa,2021/03/12,Ottawa,Toronto,,,,,,,
