Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0228334,2022/04/01,2022/04/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0228334,2022/04/01,2022/04/30,"Sgro, Hon. Judy A.",Member,Secondary Residence,2022/04/01,Ottawa,Ottawa,,,,,,,
T0228333,2022/04/12,2022/05/11,,,,,,,0.0000,110.6200,0.0000,0,0,0,110.62
T0228333,2022/04/12,2022/05/11,"Sgro, Hon. Judy A.",Member,Secondary Residence,2022/04/12,Ottawa,Ottawa,,,,,,,
T0228304,2022/04/25,2022/04/28,,,,,,,666.0400,0.0000,0.0000,1.0000,0,0,666.04
T0228304,2022/04/25,2022/04/28,,Designated Traveller,To travel to/from constituency and Ottawa,2022/04/25,Toronto,Ottawa,,,,,,,
T0228329,2022/04/25,2022/04/28,,,,,,,856.2300,0.0000,241.9200,1.0000,0,0,1098.15
T0228329,2022/04/25,2022/04/28,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/04/25,Toronto,Ottawa,,,,,,,
T0228329,2022/04/25,2022/04/28,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/04/28,Ottawa,Toronto,,,,,,,
T0228304,2022/04/25,2022/04/28,,Designated Traveller,To travel to/from constituency and Ottawa,2022/04/28,Ottawa,Toronto,,,,,,,
T0229395,2022/05/01,2022/05/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0229395,2022/05/01,2022/05/31,"Sgro, Hon. Judy A.",Member,Secondary Residence,2022/05/01,Ottawa,Ottawa,,,,,,,
T0228331,2022/05/02,2022/05/05,,,,,,,837.1200,0.0000,290.4900,1.0000,0,0,1127.61
T0228331,2022/05/02,2022/05/05,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/02,Toronto,Ottawa,,,,,,,
T0228331,2022/05/02,2022/05/05,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/05,Ottawa,Toronto,,,,,,,
T0228947,2022/05/09,2022/05/12,,,,,,,852.5800,0.0000,187.0400,1.0000,0,0,1039.62
T0228947,2022/05/09,2022/05/12,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/09,Toronto,Ottawa,,,,,,,
T0228947,2022/05/09,2022/05/12,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/12,Ottawa,Toronto,,,,,,,
T0228950,2022/05/10,2022/05/12,,,,,,,749.4600,0.0000,0.0000,1.0000,0,0,749.46
T0228950,2022/05/10,2022/05/12,,Designated Traveller,To travel to/from constituency and Ottawa,2022/05/10,Toronto,Ottawa,,,,,,,
T0228950,2022/05/10,2022/05/12,,Designated Traveller,To travel to/from constituency and Ottawa,2022/05/12,Ottawa,Toronto,,,,,,,
T0230101,2022/05/16,2022/05/18,,,,,,,849.4600,0.0000,310.0400,1.0000,0,0,1159.50
T0230101,2022/05/16,2022/05/18,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/16,Toronto,Ottawa,,,,,,,
T0230101,2022/05/16,2022/05/18,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/18,Ottawa,Toronto,,,,,,,
T0230110,2022/05/20,2022/05/23,,,,,,,2256.7400,0.0000,0.0000,0,1.0000,0,2256.74
T0230110,2022/05/20,2022/05/23,,Designated Traveller,Attending event with Member,2022/05/20,Toronto,Vancouver,,,,,,,
T0230115,2022/05/20,2022/05/23,,,,,,,2509.5700,380.5900,445.1900,0,1.0000,0,3335.35
T0230115,2022/05/20,2022/05/23,"Sgro, Hon. Judy A.",Member,To attend an event as a guest speaker,2022/05/20,Toronto,Vancouver,,,,,,,
T0230110,2022/05/20,2022/05/23,,Designated Traveller,Attending event with Member,2022/05/23,Vancouver,Toronto,,,,,,,
T0230115,2022/05/20,2022/05/23,"Sgro, Hon. Judy A.",Member,To attend an event as a guest speaker,2022/05/23,Vancouver,Toronto,,,,,,,
T0230132,2022/05/29,2022/06/01,,,,,,,853.0300,0.0000,413.3900,1.0000,0,0,1266.42
T0230132,2022/05/29,2022/06/01,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/05/29,Toronto,Ottawa,,,,,,,
T0230132,2022/05/29,2022/06/01,"Sgro, Hon. Judy A.",Member,To travel to/from constituency and Ottawa,2022/06/01,Ottawa,Toronto,,,,,,,
