Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0215169,2021/06/25,2021/07/23,,,,,,,69.6400,0.0000,0.0000,0.0000,0,0,69.64
T0215169,2021/06/25,2021/07/23,"Vaughan, Adam",Member,To attend a constituency or community event,2021/06/25,Toronto,Toronto,,,,,,,
T0215169,2021/06/25,2021/07/23,"Vaughan, Adam",Member,To attend a constituency or community event,2021/07/05,Toronto,Toronto,,,,,,,
T0215169,2021/06/25,2021/07/23,"Vaughan, Adam",Member,To attend a constituency or community event,2021/07/23,Toronto,Toronto,,,,,,,
T0215166,2021/08/04,2021/08/08,,,,,,,1205.3000,0.0000,0.0000,0.0000,1.0000,0.0000,1205.30
T0215166,2021/08/04,2021/08/08,,Designated Traveller,To unite the family with the Member,2021/08/04,Toronto,Deer Lake,,,,,,,
T0215163,2021/08/04,2021/08/08,,,,,,,1447.4900,754.3600,500.6700,0,1.0000,0,2702.52
T0215163,2021/08/04,2021/08/08,"Vaughan, Adam",Member,To attend a national caucus meeting,2021/08/04,Toronto,Deer Lake,,,,,,,
T0215163,2021/08/04,2021/08/08,"Vaughan, Adam",Member,To attend a regional or provincial caucus meeting,2021/08/08,Deer Lake,Toronto,,,,,,,
T0215833,2021/09/08,2021/09/10,,,,,,,342.5000,359.0900,300.4000,1.0000,0,0,1001.99
T0215833,2021/09/08,2021/09/10,"Vaughan, Adam",Member,To travel to/from constituency and Ottawa,2021/09/08,Toronto,Ottawa,,,,,,,
T0215833,2021/09/08,2021/09/10,"Vaughan, Adam",Member,To travel to/from constituency and Ottawa,2021/09/10,Ottawa,Toronto,,,,,,,
