Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0241369,2022/04/01,2022/04/30,,,,,,,473.9100,0.0000,0.0000,0.0000,0.0000,0,473.91
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/01,Caraquet,Grande-Anse,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/20,Tracadie-Sheila,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/23,Caraquet,Paquetville,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/23,Paquetville,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/30,Caraquet,Tracadie-Sheila,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/30,Tracadie-Sheila,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/05,Caraquet,Bathurst,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/05,Bathurst,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/22,Caraquet,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/01,Grande-Anse,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/01,Caraquet,Bas-Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/01,Bas-Caraquet,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/04,Caraquet,Shippagan,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/04,Shippagan,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/18,Caraquet,Bathurst,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/18,Bathurst,Caraquet,,,,,,,
T0241369,2022/04/01,2022/04/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/20,Caraquet,Tracadie-Sheila,,,,,,,
T0241558,2022/04/19,2022/04/19,,,,,,,162.9200,0.0000,68.3500,0,1.0000,0,231.27
T0241558,2022/04/19,2022/04/19,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/19,Caraquet,Dalhousie,,,,,,,
T0241558,2022/04/19,2022/04/19,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/04/19,Dalhousie,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,,,,,,,738.1300,0.0000,0.0000,0.0000,0.0000,0,738.13
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/03,Caraquet,Maisonnette,,,,,,,
T0241567,2022/05/01,2022/05/31,,,,,,,1990.5900,864.6200,521.3000,3.0000,0,0,3376.51
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/02,Caraquet,Petit-Rocher,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/12,Bathurst,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/22,Caraquet,Tracadie-Sheila,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/22,Tracadie-Sheila,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/25,Caraquet,Saint-Isidore,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/25,Saint-Isidore,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/26,Caraquet,Tracadie-Sheila,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/26,Tracadie-Sheila,Shippagan,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/26,Shippagan,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/30,Caraquet,Lamèque,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/30,Lamèque,Caraquet,,,,,,,
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/31,Petit-Rocher,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/03,Maisonnette,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/31,Caraquet,Bathurst,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/31,Bathurst,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/04,Caraquet,Bathurst,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/04,Bathurst,Caraquet,,,,,,,
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To travel to/from constituency and Ottawa,2022/05/16,Caraquet,Ottawa,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/05,Caraquet,Bathurst,,,,,,,
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To travel to/from constituency and Ottawa,2022/05/20,Ottawa,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/05,Bathurst,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/07,Caraquet,Lamèque,,,,,,,
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/21,Caraquet,Belledune,,,,,,,
T0241567,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/31,Belledune,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/07,Lamèque,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/09,Caraquet,Bathurst,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/09,Bathurst,Caraquet,,,,,,,
T0241370,2022/05/01,2022/05/31,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/05/12,Caraquet,Bathurst,,,,,,,
T0241374,2022/06/01,2022/06/30,,,,,,,445.3600,0.0000,68.3500,0.0000,0.0000,0,513.71
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/02,Caraquet,Tracadie-Sheila,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/27,Lamèque,Caraquet,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/30,Caraquet,Grande-Anse,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/30,Grande-Anse,Caraquet,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/15,Caraquet,Bathurst,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/15,Bathurst,Caraquet,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/20,Caraquet,Petit Rocher,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/20,Petit Rocher,Caraquet,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/02,Tracadie-Sheila,Caraquet,,,,,,,
T0241374,2022/06/01,2022/06/30,"Cormier, Serge",Member,To attend meetings about constituency issues,2022/06/05,Caraquet,Tracadie-Sheila,,,,,,,
