Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0212585,2021/01/31,2021/03/31,,,,,,,0.0000,72.9200,0.0000,0,0,0,72.92
T0212585,2021/01/31,2021/03/31,"Kelly, Pat",Member,Secondary Residence,2021/01/31,Ottawa,Ottawa,,,,,,,
T0212585,2021/01/31,2021/03/31,"Kelly, Pat",Member,Secondary Residence,2021/02/28,Ottawa,Ottawa,,,,,,,
T0212584,2021/03/01,2021/04/30,,,,,,,0.0000,85.9000,0.0000,0.0000,0.0000,0.0000,85.90
T0212584,2021/03/01,2021/04/30,"Kelly, Pat",Member,Secondary Residence,2021/03/01,Ottawa,Ottawa,,,,,,,
200488965,2021/04/01,2021/04/30,,,,,,,0.0000,1380.0000,0.0000,0,0,0,1380.00
200488965,2021/04/01,2021/04/30,"Kelly, Pat",Member,Secondary Residence,2021/04/01,OTTAWA,OTTAWA,,,,,,,
T0212354,2021/04/17,2021/05/01,,,,,,,976.1400,0.0000,399.9600,1.0000,0,0,1376.10
T0212354,2021/04/17,2021/05/01,"Kelly, Pat",Member,To travel to/from constituency and Ottawa,2021/04/17,Calgary,Ottawa,,,,,,,
T0212354,2021/04/17,2021/05/01,"Kelly, Pat",Member,To travel to/from constituency and Ottawa,2021/05/01,Ottawa,Calgary,,,,,,,
200491880,2021/05/01,2021/05/31,,,,,,,0.0000,1380.0000,0.0000,0,0,0,1380.00
200491880,2021/05/01,2021/05/31,"Kelly, Pat",Member,Secondary Residence,2021/05/01,OTTAWA,OTTAWA,,,,,,,
T0213417,2021/05/01,2021/05/31,,,,,,,0.0000,42.9500,0.0000,0,0,0,42.95
T0213417,2021/05/01,2021/05/31,"Kelly, Pat",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,,,,,,,
T0212887,2021/05/09,2021/05/15,,,,,,,968.7000,0.0000,191.8900,1.0000,0,0,1160.59
T0212887,2021/05/09,2021/05/15,"Kelly, Pat",Member,To travel to/from constituency and Ottawa,2021/05/09,Calgary,Ottawa,,,,,,,
T0212887,2021/05/09,2021/05/15,"Kelly, Pat",Member,To travel to/from constituency and Ottawa,2021/05/15,Ottawa,Calgary,,,,,,,
200498411,2021/06/01,2021/06/30,,,,,,,0.0000,1380.0000,0.0000,0,0,0,1380.00
200498411,2021/06/01,2021/06/30,"Kelly, Pat",Member,Secondary Residence,2021/06/01,OTTAWA,OTTAWA,,,,,,,
200503168,2021/07/01,2021/07/31,,,,,,,0.0000,1380.0000,0.0000,0,0,0,1380.00
200503168,2021/07/01,2021/07/31,"Kelly, Pat",Member,Secondary Residence,2021/07/01,OTTAWA,OTTAWA,,,,,,,
