Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204973,2020/09/01,2020/10/31,,,,,,,25.0200,0.0000,0.0000,0.0000,0,0,25.02
T0204973,2020/09/01,2020/10/31,"Blaney, Steven",Member,To conduct constituency office business,2020/09/14,Lévis,Saint-Anselme,,,,,,,
T0204973,2020/09/01,2020/10/31,"Blaney, Steven",Member,To conduct constituency office business,2020/09/14,Saint-Anselme,Lévis,,,,,,,
T0206500,2020/10/01,2020/10/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0206500,2020/10/01,2020/10/31,"Blaney, Steven",Member,Secondary Residence,2020/10/01,Gatineau,Gatineau,,,,,,,
T0206495,2020/10/19,2020/10/23,,,,,,,416.0700,0.0000,494.6400,1.0000,0,0,910.71
T0206495,2020/10/19,2020/10/23,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/10/19,Lévis,Ottawa,,,,,,,
T0206495,2020/10/19,2020/10/23,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/10/23,Ottawa,Lévis,,,,,,,
T0207878,2020/11/01,2020/11/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0207878,2020/11/01,2020/11/30,"Blaney, Steven",Member,Secondary Residence,2020/11/01,Gatineau,Gatineau,,,,,,,
T0207137,2020/11/07,2020/11/09,,,,,,,401.2400,0.0000,232.1000,1.0000,0,0,633.34
T0207137,2020/11/07,2020/11/09,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/11/07,Lévis,Ottawa,,,,,,,
T0207137,2020/11/07,2020/11/09,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/11/09,Ottawa,Lévis,,,,,,,
T0207456,2020/11/15,2020/11/20,,,,,,,396.6400,0.0000,556.2100,1.0000,0,0,952.85
T0207456,2020/11/15,2020/11/20,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/11/15,Lévis,Ottawa,,,,,,,
T0207456,2020/11/15,2020/11/20,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/11/20,Ottawa,Lévis,,,,,,,
T0207877,2020/11/30,2020/12/04,,,,,,,413.1500,0.0000,429.7300,1.0000,0,0,842.88
T0207877,2020/11/30,2020/12/04,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/11/30,Lévis,Ottawa,,,,,,,
T0207877,2020/11/30,2020/12/04,"Blaney, Steven",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Lévis,,,,,,,
