Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0217743,2021/09/28,2021/09/28,,,,,,,795.1700,0.0000,81.0700,1.0000,0,0,876.24
T0217743,2021/09/28,2021/09/28,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/09/28,Midland,Ottawa,,,,,,,
T0217743,2021/09/28,2021/09/28,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/09/28,Ottawa,Midland,,,,,,,
T0217745,2021/10/04,2021/10/07,,,,,,,516.6000,661.0400,385.1800,1.0000,0,0,1562.82
T0217745,2021/10/04,2021/10/07,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/10/04,Midland,Ottawa,,,,,,,
T0217745,2021/10/04,2021/10/07,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/10/07,Ottawa,Midland,,,,,,,
T0219694,2021/10/21,2021/10/24,,,,,,,999.1100,0.0000,179.5700,0,1.0000,0,1178.68
T0219694,2021/10/21,2021/10/24,"Chambers, Adam",Member,To attend a conference,2021/10/21,Midland,Banff,,,,,,,
T0219694,2021/10/21,2021/10/24,"Chambers, Adam",Member,To attend a conference,2021/10/24,Calgary,Midland,,,,,,,
T0219161,2021/10/26,2021/10/27,,,,,,,741.4400,177.3300,163.8800,1.0000,0,0,1082.65
T0219161,2021/10/26,2021/10/27,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/10/26,Midland,Ottawa,,,,,,,
T0219161,2021/10/26,2021/10/27,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/10/27,Ottawa,Midland,,,,,,,
T0217746,2021/11/01,2021/11/03,,,,,,,519.8400,520.4500,303.3500,1.0000,0,0,1343.64
T0217746,2021/11/01,2021/11/03,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/01,Midland,Ottawa,,,,,,,
T0217746,2021/11/01,2021/11/03,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/03,Ottawa,Midland,,,,,,,
T0218554,2021/11/15,2021/11/18,,,,,,,455.8900,563.4600,365.8900,1.0000,0,0,1385.24
T0218554,2021/11/15,2021/11/18,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/15,Midland,Ottawa,,,,,,,
T0218554,2021/11/15,2021/11/18,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/18,Ottawa,Midland,,,,,,,
T0219150,2021/11/21,2021/11/26,,,,,,,445.1800,755.4800,540.3100,1.0000,0,0,1740.97
T0219150,2021/11/21,2021/11/26,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/21,Midland,Ottawa,,,,,,,
T0219150,2021/11/21,2021/11/26,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Midland,,,,,,,
T0219693,2021/11/28,2021/12/02,,,,,,,445.1800,560.3100,467.2300,1.0000,0,0,1472.72
T0219693,2021/11/28,2021/12/02,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/11/28,Midland,Ottawa,,,,,,,
T0219693,2021/11/28,2021/12/02,"Chambers, Adam",Member,To travel to/from constituency and Ottawa,2021/12/02,Ottawa,Midland,,,,,,,
