Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0206005,2020/05/08,2020/08/24,,,,,,,73.1400,0.0000,0.0000,0,0,0,73.14
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/05/26,Ottawa,Beamsville,,,,,,,
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/06/11,Ottawa,Beamsville,,,,,,,
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/05/24,Beamsville,Ottawa,,,,,,,
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/08/24,Ottawa,Fenwick,,,,,,,
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/06/08,Beamsville,Ottawa,,,,,,,
T0206005,2020/05/08,2020/08/24,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/08/23,Fenwick,Ottawa,,,,,,,
T0207879,2020/06/17,2020/09/16,,,,,,,0.0000,353.8200,0.0000,0,0,0,353.82
T0207879,2020/06/17,2020/09/16,"Allison, Dean",Member,Secondary Residence,2020/08/17,Ottawa,Ottawa,,,,,,,
T0207879,2020/06/17,2020/09/16,"Allison, Dean",Member,Secondary Residence,2020/06/17,Ottawa,Ottawa,,,,,,,
T0207879,2020/06/17,2020/09/16,"Allison, Dean",Member,Secondary Residence,2020/07/17,Ottawa,Ottawa,,,,,,,
T0207886,2020/09/15,2020/10/29,,,,,,,269.1100,0.0000,0.0000,0.0000,0,0,269.11
T0207886,2020/09/15,2020/10/29,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/09/15,Toronto,Ottawa,,,,,,,
T0207886,2020/09/15,2020/10/29,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/10/09,Fenwick,Ottawa,,,,,,,
T0207884,2020/09/17,2020/12/16,,,,,,,0.0000,370.5400,0.0000,0,0,0,370.54
T0207884,2020/09/17,2020/12/16,"Allison, Dean",Member,Secondary Residence,2020/10/17,Ottawa,Ottawa,,,,,,,
T0207884,2020/09/17,2020/12/16,"Allison, Dean",Member,Secondary Residence,2020/09/17,Ottawa,Ottawa,,,,,,,
T0207884,2020/09/17,2020/12/16,"Allison, Dean",Member,Secondary Residence,2020/11/17,Ottawa,Ottawa,,,,,,,
T0206008,2020/10/04,2020/10/09,,,,,,,546.3400,0.0000,593.5700,1.0000,0,0,1139.91
T0206008,2020/10/04,2020/10/09,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/10/04,Fenwick,Ottawa,,,,,,,
T0206008,2020/10/04,2020/10/09,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/10/09,Ottawa,Fenwick,,,,,,,
T0206641,2020/10/26,2020/10/29,,,,,,,555.6800,0.0000,395.7100,1.0000,0,0,951.39
T0206641,2020/10/26,2020/10/29,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/10/26,Fenwick,Ottawa,,,,,,,
T0206641,2020/10/26,2020/10/29,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/10/29,Ottawa,Fenwick,,,,,,,
200448959,2020/11/01,2020/11/30,,,,,,,0.0000,1640.0000,0.0000,0,0,0,1640.00
200448959,2020/11/01,2020/11/30,"Allison, Dean",Member,Secondary Residence,2020/11/01,OTTAWA,OTTAWA,,,,,,,
T0207890,2020/11/19,2020/11/21,,,,,,,537.0000,0.0000,296.7900,1.0000,0,0,833.79
T0207890,2020/11/19,2020/11/21,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/11/19,Fenwick,Ottawa,,,,,,,
T0207890,2020/11/19,2020/11/21,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/11/21,Ottawa,Fenwick,,,,,,,
T0207891,2020/11/29,2020/12/04,,,,,,,555.6800,0.0000,593.5700,1.0000,0,0,1149.25
T0207891,2020/11/29,2020/12/04,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/11/29,Fenwick,Ottawa,,,,,,,
T0207891,2020/11/29,2020/12/04,"Allison, Dean",Member,To travel to/from constituency and Ottawa,2020/12/04,Ottawa,Fenwick,,,,,,,
200455861,2020/12/01,2020/12/31,,,,,,,0.0000,1640.0000,0.0000,0,0,0,1640.00
200455861,2020/12/01,2020/12/31,"Allison, Dean",Member,Secondary Residence,2020/12/01,OTTAWA,OTTAWA,,,,,,,
200461549,2021/01/01,2021/01/31,,,,,,,0.0000,1640.0000,0.0000,0,0,0,1640.00
200461549,2021/01/01,2021/01/31,"Allison, Dean",Member,Secondary Residence,2021/01/01,OTTAWA,OTTAWA,,,,,,,
