Supplier,Description,Date,Total
Applewood Shopping Plaza Ltd,Office Rental and Related Fees,2021/04/01,3700.00
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2021/04/01,4.50
Rogers Wireless – Rogers sans-fil,Long Distance,2021/04/01,43.50
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/04/01,351.50
Vanguard Cleaning Systems GTA West,Janitorial Services and Maintenance,2021/04/01,225.00
CORREIO DA MANHA CANADA,Advertising,2021/04/06,39.48
Rogers,Public Utilities,2021/04/06,282.40
Enbridge,Public Utilities,2021/04/09,5.81
Region of Peel,Public Utilities,2021/04/13,2.81
Culligan Water,Equipment Rental (non-hospitality related),2021/04/14,9.95
THN Media,Advertising,2021/04/15,495.00
The Economist,"Printed Matter, Books, Newspapers and Subscriptions",2021/04/26,84.75
Staples,"Office Supplies, Stationery and Accessories",2021/04/27,115.18
Dollarama,Cleaning Products,2021/04/28,17.55
Correo Canadiense,Advertising,2021/04/30,47.36
Applewood Shopping Plaza Ltd,Office Rental and Related Fees,2021/05/01,3700.00
Rogers Wireless – Rogers sans-fil,Voice and data plan for mobile devices,2021/05/01,302.52
Rogers Wireless – Rogers sans-fil,Long Distance,2021/05/01,93.00
Vanguard Cleaning Systems GTA West,Janitorial Services and Maintenance,2021/05/01,225.00
Bell,Constituency Office Cable,2021/05/03,86.90
Rogers,Constituency Office Internet,2021/05/05,18.57
Canada Post – Postes Canada,Postage and Parcel Post,2021/05/11,278.31
Enbridge,Public Utilities,2021/05/11,156.20
Culligan,Equipment Rental (non-hospitality related),2021/05/14,9.95
LoSpecchio,Advertising,2021/05/14,55.70
Canada Post – Postes Canada,Courier Services,2021/05/17,9.07
Canada Post – Postes Canada,Courier Services,2021/05/17,8.49
Canada Post – Postes Canada,Courier Services,2021/05/17,7.96
THN Media,Advertising,2021/05/18,495.00
Bell,Constituency Office Internet,2021/05/28,199.90
OUTFRONT MEDIA CANADA LP,Advertising,2021/05/31,1500.00
Applewood Shopping Plaza Ltd,Office Rental and Related Fees,2021/06/01,3700.00
Canada Post,"Postage, Parcel Post and Courier Services",2021/06/02,160.00
House of Commons / Chambre des communes,Language Training,2021/06/02,27.64
Bell,Constituency Office Cable,2021/06/03,36.90
Culligan,Equipment Rental (non-hospitality related),2021/06/14,9.95
Canada Post – Postes Canada,Courier Services,2021/06/17,9.59
Canada Post – Postes Canada,Courier Services,2021/06/17,40.15
Canada Post,"Postage, Parcel Post and Courier Services",2021/06/23,170.55
Applewood Shopping Plaza Ltd,Office Rental and Related Fees,2021/07/01,3700.00
