Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0219912,2021/10/01,2021/11/01,,,,,,,0.0000,30.5600,0.0000,0,0,0,30.56
T0219912,2021/10/01,2021/11/01,"Tassi, Hon. Filomena",Member,Secondary Residence,2021/10/01,Ottawa,Ottawa,,,,,,,
T0223746,2021/10/24,2021/10/24,,,,,,,13.1500,0.0000,0.0000,0.5000,0,0,13.15
T0223746,2021/10/24,2021/10/24,,Designated Traveller,To unite the family with the Member,2021/10/24,Hamilton (City / Ville),Ottawa,,,,,,,
T0222270,2021/10/24,2021/10/24,,,,,,,13.1500,0.0000,0.0000,0.5000,0,0,13.15
T0222270,2021/10/24,2021/10/24,"Tassi, Hon. Filomena",Member,To travel to/from constituency and Ottawa,2021/10/24,Hamilton (City / Ville),Ottawa,,,,,,,
T0222272,2021/10/28,2021/10/28,,,,,,,558.1200,0.0000,0.0000,0.5000,0,0,558.12
T0222272,2021/10/28,2021/10/28,"Tassi, Hon. Filomena",Member,To travel to/from constituency and Ottawa,2021/10/28,Ottawa,Hamilton (City / Ville),,,,,,,
T0223033,2021/11/18,2021/12/18,,,,,,,0.0000,276.8000,0.0000,0,0,0,276.80
T0223033,2021/11/18,2021/12/18,"Tassi, Hon. Filomena",Member,Secondary Residence,2021/11/18,Ottawa,Ottawa,,,,,,,
T0222274,2021/11/21,2021/11/21,,,,,,,553.1200,0.0000,0.0000,0.5000,0,0,553.12
T0222274,2021/11/21,2021/11/21,,Designated Traveller,To travel to/from constituency and Ottawa,2021/11/21,Hamilton (City / Ville),Ottawa,,,,,,,
T0222275,2021/11/26,2021/11/26,,,,,,,248.1200,0.0000,0.0000,0.5000,0,0,248.12
T0222275,2021/11/26,2021/11/26,,Designated Traveller,To travel to/from constituency and Ottawa,2021/11/26,Ottawa,Hamilton (City / Ville),,,,,,,
T0222277,2021/12/03,2021/12/03,,,,,,,333.0200,0.0000,0.0000,0.5000,0,0,333.02
T0222277,2021/12/03,2021/12/03,,Designated Traveller,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Hamilton (City / Ville),,,,,,,
T0220610,2021/12/12,2021/12/12,,,,,,,127.8100,0.0000,0.0000,0.5000,0,0,127.81
T0220610,2021/12/12,2021/12/12,,Designated Traveller,To travel to/from constituency and Ottawa,2021/12/12,Hamilton (City / Ville),Ottawa,,,,,,,
T0222279,2021/12/12,2021/12/12,,,,,,,13.1500,0.0000,0.0000,0.5000,0,0,13.15
T0222279,2021/12/12,2021/12/12,"Tassi, Hon. Filomena",Member,To travel to/from constituency and Ottawa,2021/12/12,Hamilton (City / Ville),Ottawa,,,,,,,
T0222284,2021/12/17,2021/12/17,,,,,,,20.1500,0.0000,0.0000,0.5000,0,0,20.15
T0222284,2021/12/17,2021/12/17,"Tassi, Hon. Filomena",Member,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Hamilton (City / Ville),,,,,,,
T0222506,2021/12/17,2021/12/17,,,,,,,127.6500,0.0000,0.0000,0.5000,0,0,127.65
T0222506,2021/12/17,2021/12/17,,Designated Traveller,To travel to/from constituency and Ottawa,2021/12/17,Ottawa,Hamilton,,,,,,,
T0222046,2022/01/14,2022/01/14,,,,,,,0.0000,66.1500,0.0000,0,0,0,66.15
T0222046,2022/01/14,2022/01/14,"Tassi, Hon. Filomena",Member,Secondary Residence,2022/01/14,Ottawa,Ottawa,,,,,,,
200543992,2022/02/01,2022/02/28,,,,,,,0.0000,2134.0000,0.0000,0,0,0,2134.00
200543992,2022/02/01,2022/02/28,"Tassi, Hon. Filomena",Member,Secondary Residence,2022/02/01,OTTAWA,OTTAWA,,,,,,,
T0225429,2022/02/18,2022/03/18,,,,,,,0.0000,106.1900,0.0000,0,0,0,106.19
T0225429,2022/02/18,2022/03/18,"Tassi, Hon. Filomena",Member,Secondary Residence,2022/02/18,Ottawa,Ottawa,,,,,,,
T0225529,2022/02/27,2022/02/27,,,,,,,333.0200,0.0000,0.0000,0.5000,0,0,333.02
T0225529,2022/02/27,2022/02/27,,Designated Traveller,To travel to/from constituency and Ottawa,2022/02/27,Hamilton (City / Ville),Ottawa,,,,,,,
T0223561,2022/02/27,2022/02/27,,,,,,,496.4700,0.0000,0.0000,0.5000,0,0,496.47
T0223561,2022/02/27,2022/02/27,"Tassi, Hon. Filomena",Member,To travel to/from constituency and Ottawa,2022/02/27,Hamilton (City / Ville),Ottawa,,,,,,,
200552256,2022/03/01,2022/03/31,,,,,,,0.0000,2134.0000,0.0000,0,0,0,2134.00
200552256,2022/03/01,2022/03/31,"Tassi, Hon. Filomena",Member,Secondary Residence,2022/03/01,OTTAWA,OTTAWA,,,,,,,
T0225370,2022/03/05,2022/03/05,,,,,,,117.8000,0.0000,0.0000,1.0000,0,0,117.80
