Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205923,2020/09/22,2020/09/25,,,,,,,852.3100,594.9400,267.2300,1.0000,0,0,1714.48
T0205923,2020/09/22,2020/09/25,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/09/22,Woodbridge,Ottawa,,,,,,,
T0205923,2020/09/22,2020/09/25,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Woodbridge,,,,,,,
T0205983,2020/09/28,2020/10/02,,,,,,,909.3800,793.2500,397.0900,1.0000,0,0,2099.72
T0205983,2020/09/28,2020/10/02,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/09/28,Woodbridge,Ottawa,,,,,,,
T0205983,2020/09/28,2020/10/02,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/10/02,Ottawa,Woodbridge,,,,,,,
T0207627,2020/11/15,2020/11/20,,,,,,,893.7200,781.7000,482.3200,1.0000,0,0,2157.74
T0207627,2020/11/15,2020/11/20,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/11/15,Woodbridge,Ottawa,,,,,,,
T0207627,2020/11/15,2020/11/20,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/11/20,Ottawa,Woodbridge,,,,,,,
T0208516,2020/11/22,2020/11/28,,,,,,,897.5400,927.5400,482.1000,1.0000,0,0,2307.18
T0208516,2020/11/22,2020/11/28,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/11/22,Woodbridge,Ottawa,,,,,,,
T0208516,2020/11/22,2020/11/28,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/11/28,Ottawa,Woodbridge,,,,,,,
T0208661,2020/11/30,2020/12/03,,,,,,,505.7600,469.0200,333.9300,1.0000,0,0,1308.71
T0208661,2020/11/30,2020/12/03,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/11/30,Woodbridge,Ottawa,,,,,,,
T0208661,2020/11/30,2020/12/03,"Sorbara, Francesco",Member,To travel to/from constituency and Ottawa,2020/12/03,Ottawa,Woodbridge,,,,,,,
