Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0220772,2021/11/30,2021/12/03,,,,,,,813.3600,0.0000,304.3300,1.0000,0,0,1117.69
T0220772,2021/11/30,2021/12/03,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/11/30,Waterloo,Ottawa,,,,,,,
T0220772,2021/11/30,2021/12/03,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/12/03,Ottawa,Waterloo,,,,,,,
T0221361,2021/12/01,2021/12/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0221361,2021/12/01,2021/12/31,"Chagger, Hon. Bardish",Member,Secondary Residence,2021/12/01,Ottawa,Ottawa,,,,,,,
T0220775,2021/12/05,2021/12/10,,,,,,,836.4600,0.0000,390.6700,1.0000,0,0,1227.13
T0220775,2021/12/05,2021/12/10,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/12/05,Waterloo,Ottawa,,,,,,,
T0220775,2021/12/05,2021/12/10,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/12/10,Ottawa,Waterloo,,,,,,,
T0220908,2021/12/12,2021/12/14,,,,,,,999.1200,0.0000,171.3400,1.0000,0,0,1170.46
T0220908,2021/12/12,2021/12/14,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/12/12,Waterloo,Ottawa,,,,,,,
T0220908,2021/12/12,2021/12/14,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2021/12/14,Ottawa,Waterloo,,,,,,,
T0222329,2022/01/01,2022/01/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0222329,2022/01/01,2022/01/31,"Chagger, Hon. Bardish",Member,Secondary Residence,2022/01/01,Ottawa,Ottawa,,,,,,,
T0224289,2022/02/01,2022/02/28,,,,,,,0.0000,1400.0000,0.0000,0,0,0,1400.00
T0224289,2022/02/01,2022/02/28,"Chagger, Hon. Bardish",Member,Secondary Residence,2022/02/01,Ottawa,Ottawa,,,,,,,
T0222981,2022/02/06,2022/02/10,,,,,,,954.2900,0.0000,218.2100,1.0000,0,0,1172.50
T0222981,2022/02/06,2022/02/10,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/02/06,Waterloo,Ottawa,,,,,,,
T0222981,2022/02/06,2022/02/10,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/02/10,Ottawa,Waterloo,,,,,,,
T0224383,2022/02/25,2022/03/03,,,,,,,998.1900,0.0000,284.8200,1.0000,0,0,1283.01
T0224383,2022/02/25,2022/03/03,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/02/25,Waterloo,Ottawa,,,,,,,
T0224383,2022/02/25,2022/03/03,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/03/03,Ottawa,Waterloo,,,,,,,
T0225897,2022/03/01,2022/03/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0225897,2022/03/01,2022/03/31,"Chagger, Hon. Bardish",Member,Secondary Residence,2022/03/01,Ottawa,Ottawa,,,,,,,
T0224948,2022/03/20,2022/03/25,,,,,,,1045.0100,0.0000,303.8800,1.0000,0,0,1348.89
T0224948,2022/03/20,2022/03/25,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/03/20,Waterloo,Ottawa,,,,,,,
T0224948,2022/03/20,2022/03/25,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/03/25,Ottawa,Waterloo,,,,,,,
T0225324,2022/03/27,2022/03/31,,,,,,,987.8400,0.0000,272.2300,1.0000,0,0,1260.07
T0225324,2022/03/27,2022/03/31,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/03/27,Waterloo,Ottawa,,,,,,,
T0225324,2022/03/27,2022/03/31,"Chagger, Hon. Bardish",Member,To travel to/from constituency and Ottawa,2022/03/31,Ottawa,Waterloo,,,,,,,
