Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0227273,2022/04/03,2022/04/08,,,,,,,834.9600,965.3600,371.1600,1.0000,0,0,2171.48
T0227273,2022/04/03,2022/04/08,"Saks, Ya'ara",Member,To travel to/from constituency and Ottawa,2022/04/03,Toronto,Ottawa,,,,,,,
T0227273,2022/04/03,2022/04/08,"Saks, Ya'ara",Member,To travel to/from constituency and Ottawa,2022/04/08,Ottawa,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,,,,,,,105.6800,0.0000,0.0000,0.0000,0.0000,0,105.68
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/03,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/24,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/24,Toronto,Vaughan,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/24,Vaughan,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/30,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/30,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/03,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/11,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/11,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/12,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/12,Toronto,Toronto,,,,,,,
T0228807,2022/04/03,2022/04/30,"Saks, Ya'ara",Member,To attend a constituency or community event,2022/04/23,Toronto,Toronto,,,,,,,
