Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0220456,2021/10/23,2021/11/23,,,,,,,0.0000,41.1800,0.0000,0,0,0,41.18
T0220456,2021/10/23,2021/11/23,"McPherson, Heather",Member,Secondary Residence,2021/10/23,Ottawa,Ottawa,,,,,,,
T0221741,2021/11/23,2021/12/24,,,,,,,0.0000,44.4700,0.0000,0,0,0,44.47
T0221741,2021/11/23,2021/12/24,"McPherson, Heather",Member,Secondary Residence,2021/11/23,Ottawa,Ottawa,,,,,,,
T0220454,2021/12/05,2022/01/04,,,,,,,0.0000,84.9900,0.0000,0,0,0,84.99
T0220454,2021/12/05,2022/01/04,"McPherson, Heather",Member,Secondary Residence,2021/12/05,Ottawa,Ottawa,,,,,,,
T0220462,2021/12/12,2021/12/16,,,,,,,2435.4700,0.0000,171.1200,1.0000,0,0,2606.59
T0220462,2021/12/12,2021/12/16,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2021/12/12,Edmonton,Ottawa,,,,,,,
T0220462,2021/12/12,2021/12/16,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2021/12/16,Ottawa,Edmonton,,,,,,,
T0222663,2021/12/24,2022/01/24,,,,,,,0.0000,36.8400,0.0000,0,0,0,36.84
T0222663,2021/12/24,2022/01/24,"McPherson, Heather",Member,Secondary Residence,2021/12/24,Ottawa,Ottawa,,,,,,,
T0222663,2021/12/24,2022/01/24,"McPherson, Heather",Member,Secondary Residence,2021/12/24,Ottawa,Ottawa,,,,,,,
T0221474,2022/01/01,2022/01/31,,,,,,,0.0000,49.0500,0.0000,0,0,0,49.05
T0221474,2022/01/01,2022/01/31,"McPherson, Heather",Member,Secondary Residence,2022/01/01,Ottawa,Ottawa,,,,,,,
T0224154,2022/01/24,2022/02/23,,,,,,,0.0000,39.4200,0.0000,0,0,0,39.42
T0224154,2022/01/24,2022/02/23,"McPherson, Heather",Member,Secondary Residence,2022/01/24,Ottawa,Ottawa,,,,,,,
T0222170,2022/01/30,2022/02/04,,,,,,,1678.0500,0.0000,591.2500,1.0000,0,0,2269.30
T0222170,2022/01/30,2022/02/04,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2022/01/30,Edmonton,Ottawa,,,,,,,
T0222170,2022/01/30,2022/02/04,"McPherson, Heather",Member,To travel to/from constituency and Ottawa,2022/02/04,Ottawa,Edmonton,,,,,,,
200543955,2022/02/01,2022/02/28,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.00
