Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0236651,2022/08/09,2022/09/08,,,,,,,0.0000,32.0000,0.0000,0,0,0,32.00
T0236651,2022/08/09,2022/09/08,"Chong, Hon. Michael",Member,Secondary Residence,2022/08/09,Ottawa,Ottawa,,,,,,,
T0236160,2022/08/25,2022/08/25,,,,,,,32.9600,0.0000,0.0000,0.0000,0,0,32.96
T0236160,2022/08/25,2022/08/25,"Chong, Hon. Michael",Member,To attend a constituency or community event,2022/08/25,Fergus,Erin,,,,,,,
T0236160,2022/08/25,2022/08/25,"Chong, Hon. Michael",Member,To attend a constituency or community event,2022/08/25,Erin,Fergus,,,,,,,
T0236155,2022/09/06,2022/09/07,,,,,,,577.0600,0.0000,47.0500,1.0000,0,0,624.11
T0236155,2022/09/06,2022/09/07,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/06,Fergus,Ottawa,,,,,,,
T0236155,2022/09/06,2022/09/07,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/07,Ottawa,Fergus,,,,,,,
T0239267,2022/09/08,2022/10/08,,,,,,,0.0000,33.6800,0.0000,0,0,0,33.68
T0239267,2022/09/08,2022/10/08,"Chong, Hon. Michael",Member,Secondary Residence,2022/09/08,Ottawa,Ottawa,,,,,,,
T0236159,2022/09/11,2022/10/10,,,,,,,0.0000,74.4900,0.0000,0,0,0,74.49
T0236159,2022/09/11,2022/10/10,"Chong, Hon. Michael",Member,Secondary Residence,2022/09/11,Ottawa,Ottawa,,,,,,,
T0236156,2022/09/14,2022/09/15,,,,,,,562.9800,0.0000,47.0500,1.0000,0,0,610.03
T0236156,2022/09/14,2022/09/15,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/14,Fergus,Ottawa,,,,,,,
T0236156,2022/09/14,2022/09/15,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/15,Ottawa,Fergus,,,,,,,
T0236084,2022/09/19,2022/09/22,,,,,,,1478.1700,0.0000,185.4000,1.0000,0,0,1663.57
T0236084,2022/09/19,2022/09/22,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/19,Fergus,Ottawa,,,,,,,
T0236084,2022/09/19,2022/09/22,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/22,Ottawa,Fergus,,,,,,,
T0236669,2022/09/25,2022/09/29,,,,,,,587.4700,0.0000,146.5600,1.0000,0,0,734.03
T0236669,2022/09/25,2022/09/29,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/25,Fergus,Ottawa,,,,,,,
T0236669,2022/09/25,2022/09/29,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/09/29,Ottawa,Fergus,,,,,,,
T0236668,2022/10/01,2022/10/31,,,,,,,0.0000,1374.6000,0.0000,0,0,0,1374.60
T0236668,2022/10/01,2022/10/31,"Chong, Hon. Michael",Member,Secondary Residence,2022/10/01,Ottawa,Ottawa,,,,,,,
T0237299,2022/10/02,2022/10/07,,,,,,,622.6800,0.0000,313.5300,1.0000,0,0,936.21
T0237299,2022/10/02,2022/10/07,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/02,Fergus,Ottawa,,,,,,,
T0237299,2022/10/02,2022/10/07,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/07,Ottawa,Fergus,,,,,,,
T0240884,2022/10/08,2022/11/08,,,,,,,0.0000,33.4400,0.0000,0,0,0,33.44
T0240884,2022/10/08,2022/11/08,"Chong, Hon. Michael",Member,Secondary Residence,2022/10/08,Ottawa,Ottawa,,,,,,,
T0239287,2022/10/11,2022/11/10,,,,,,,0.0000,74.4900,0.0000,0,0,0,74.49
T0239287,2022/10/11,2022/11/10,"Chong, Hon. Michael",Member,Secondary Residence,2022/10/11,Ottawa,Ottawa,,,,,,,
T0237800,2022/10/16,2022/10/20,,,,,,,607.8400,0.0000,268.3500,1.0000,0,0,876.19
T0237800,2022/10/16,2022/10/20,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/16,Fergus,Ottawa,,,,,,,
T0237800,2022/10/16,2022/10/20,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/20,Ottawa,Fergus,,,,,,,
T0239780,2022/10/23,2022/10/28,,,,,,,581.5200,0.0000,405.2200,1.0000,0,0,986.74
T0239780,2022/10/23,2022/10/28,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/23,Fergus,Ottawa,,,,,,,
T0239780,2022/10/23,2022/10/28,"Chong, Hon. Michael",Member,To travel to/from constituency and Ottawa,2022/10/28,Ottawa,Fergus,,,,,,,
T0238073,2022/10/27,2022/10/27,,,,,,,62.0600,0.0000,0.0000,0.0000,0.0000,0,62.06
T0238073,2022/10/27,2022/10/27,"Smith, James",Employee,To attend a constituency or community event,2022/10/27,Fergus,Elora,,,,,,,
T0238073,2022/10/27,2022/10/27,"Smith, James",Employee,To attend a constituency or community event,2022/10/27,Elora,Rockwood,,,,,,,
T0238073,2022/10/27,2022/10/27,"Smith, James",Employee,To attend a constituency or community event,2022/10/27,Rockwood,Erin,,,,,,,
T0238073,2022/10/27,2022/10/27,"Smith, James",Employee,To attend a constituency or community event,2022/10/27,Erin,Acton,,,,,,,
T0238073,2022/10/27,2022/10/27,"Smith, James",Employee,To attend a constituency or community event,2022/10/27,Acton,Halton Hills,,,,,,,
