Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0208955,2020/06/02,2020/06/04,,,,,,,427.8300,0.0000,0.0000,1.0000,0,0,427.83
T0208955,2020/06/02,2020/06/04,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/06/02,Toronto,Ottawa,,,,,,,
T0208955,2020/06/02,2020/06/04,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/06/04,Ottawa,Toronto,,,,,,,
T0208956,2020/07/19,2020/07/22,,,,,,,411.3200,0.0000,0.0000,1.0000,0,0,411.32
T0208956,2020/07/19,2020/07/22,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/07/19,Toronto,Ottawa,,,,,,,
T0208956,2020/07/19,2020/07/22,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/07/22,Ottawa,Toronto,,,,,,,
T0208957,2020/09/11,2020/09/16,,,,,,,411.3200,0.0000,0.0000,1.0000,0,0,411.32
T0208957,2020/09/11,2020/09/16,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/09/11,Toronto,Ottawa,,,,,,,
T0208957,2020/09/11,2020/09/16,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/09/16,Ottawa,Toronto,,,,,,,
T0208959,2020/10/25,2020/10/30,,,,,,,419.3400,0.0000,0.0000,1.0000,0,0,419.34
T0208959,2020/10/25,2020/10/30,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/10/25,Toronto,Ottawa,,,,,,,
T0208959,2020/10/25,2020/10/30,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/10/30,Ottawa,Toronto,,,,,,,
T0207014,2020/11/01,2020/11/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0207014,2020/11/01,2020/11/30,"Bennett, Carolyn",Member,Secondary Residence,2020/11/01,Ottawa,Ottawa,,,,,,,
T0208960,2020/11/22,2020/11/27,,,,,,,419.3400,0.0000,0.0000,1.0000,0,0,419.34
T0208960,2020/11/22,2020/11/27,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/11/22,Toronto,Ottawa,,,,,,,
T0208960,2020/11/22,2020/11/27,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/11/27,Ottawa,Toronto,,,,,,,
T0208964,2020/12/01,2020/12/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0208964,2020/12/01,2020/12/31,"Bennett, Carolyn",Member,Secondary Residence,2020/12/01,Ottawa,Ottawa,,,,,,,
T0208327,2020/12/10,2020/12/12,,,,,,,422.1400,0.0000,0.0000,1.0000,0,0,422.14
T0208327,2020/12/10,2020/12/12,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/12/10,Toronto,Ottawa,,,,,,,
T0208327,2020/12/10,2020/12/12,"Bennett, Carolyn",Member,To travel to/from constituency and Ottawa,2020/12/12,Ottawa,Toronto,,,,,,,
T0209532,2021/01/01,2021/01/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0209532,2021/01/01,2021/01/31,"Bennett, Carolyn",Member,Secondary Residence,2021/01/01,Ottawa,Ottawa,,,,,,,
T0210277,2021/02/01,2021/02/28,,,,,,,0.0000,1400.0000,0.0000,0,0,0,1400.00
T0210277,2021/02/01,2021/02/28,"Bennett, Carolyn",Member,Secondary Residence,2021/02/01,Ottawa,Ottawa,,,,,,,
T0211366,2021/03/01,2021/03/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0211366,2021/03/01,2021/03/31,"Bennett, Carolyn",Member,Secondary Residence,2021/03/01,Ottawa,Ottawa,,,,,,,
