Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0206547,,,,,,,,,342.9000,0.0000,0.0000,0.5000,0,0,342.90
T0206547,,,"Sheehan, Terry",Member,Trip cancellation expenses due to unforeseen circumstance,,,,,,,,,,
T0207883,2020/04/29,2020/11/28,,,,,,,0.0000,1379.0200,0.0000,0,0,0,1379.02
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/07/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/10/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/05/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/04/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/06/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/09/29,Ottawa,Ottawa,,,,,,,
T0207883,2020/04/29,2020/11/28,"Sheehan, Terry",Member,Secondary Residence,2020/08/29,Ottawa,Ottawa,,,,,,,
T0206150,2020/09/22,2020/09/27,,,,,,,728.2800,0.0000,509.6000,1.0000,0,0,1237.88
T0206150,2020/09/22,2020/09/27,"Sheehan, Terry",Member,To travel to/from constituency and Ottawa,2020/09/22,Sault Ste. Marie,Ottawa,,,,,,,
T0206150,2020/09/22,2020/09/27,"Sheehan, Terry",Member,To travel to/from constituency and Ottawa,2020/09/27,Ottawa,Sault Ste. Marie,,,,,,,
200449092,2020/11/01,2020/11/30,,,,,,,0.0000,1758.2700,0.0000,0,0,0,1758.27
200449092,2020/11/01,2020/11/30,"Sheehan, Terry",Member,Secondary Residence,2020/11/01,OTTAWA,OTTAWA,,,,,,,
200455994,2020/12/01,2020/12/31,,,,,,,0.0000,1758.2700,0.0000,0,0,0,1758.27
200455994,2020/12/01,2020/12/31,"Sheehan, Terry",Member,Secondary Residence,2020/12/01,OTTAWA,OTTAWA,,,,,,,
200461682,2021/01/01,2021/01/31,,,,,,,0.0000,1758.2700,0.0000,0,0,0,1758.27
200461682,2021/01/01,2021/01/31,"Sheehan, Terry",Member,Secondary Residence,2021/01/01,OTTAWA,OTTAWA,,,,,,,
