Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0221692,2021/11/01,2021/11/30,,,,,,,729.7800,0.0000,0.0000,0.0000,0,0,729.78
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/02,Estevan,Weyburn,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend a constituency or community event,2021/11/11,Whitewood,Estevan,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/02,Weyburn,Estevan,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/04,Estevan,Benson,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/04,Benson,Estevan,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/05,Estevan,Moosomin,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/05,Moosomin,Estevan,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/10,Estevan,Weyburn,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend meetings about constituency issues,2021/11/10,Weyburn,Estevan,,,,,,,
T0221692,2021/11/01,2021/11/30,"Kitchen, Robert",Member,To attend a constituency or community event,2021/11/11,Estevan,Whitewood,,,,,,,
T0221451,2021/12/01,2021/12/31,,,,,,,0.0000,54.9900,0.0000,0,0,0,54.99
T0221451,2021/12/01,2021/12/31,"Kitchen, Robert",Member,Secondary Residence,2021/12/01,Ottawa,Ottawa,,,,,,,
T0221945,2021/12/01,2021/12/31,,,,,,,0.0000,27.6700,0.0000,0,0,0,27.67
T0221945,2021/12/01,2021/12/31,"Kitchen, Robert",Member,Secondary Residence,2021/12/01,Ottawa,Ottawa,,,,,,,
T0223226,2022/01/01,2022/01/31,,,,,,,917.3000,0.0000,0.0000,0.0000,0,0,917.30
