Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0211963,2020/11/18,2020/11/19,,,,,,,1284.9000,0.0000,0.0000,1.0000,0.0000,0.0000,1284.90
T0211963,2020/11/18,2020/11/19,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2020/11/18,Ottawa,Québec,,,,,,,
T0211963,2020/11/18,2020/11/19,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2020/11/19,Québec,Ottawa,,,,,,,
T0209452,2020/11/24,2021/01/25,,,,,,,0.0000,62.8400,0.0000,0,0,0,62.84
T0209452,2020/11/24,2021/01/25,"Deltell, Gérard",Member,Secondary Residence,2020/11/24,Gatineau,Gatineau,,,,,,,
T0209453,2021/01/24,2021/01/29,,,,,,,456.3100,0.0000,417.4100,1.0000,0,0,873.72
T0209453,2021/01/24,2021/01/29,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/01/24,Loretteville,Ottawa,,,,,,,
T0209453,2021/01/24,2021/01/29,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/01/29,Ottawa,Loretteville,,,,,,,
T0211627,2021/01/26,2021/03/25,,,,,,,0.0000,108.1000,0.0000,0,0,0,108.10
T0211627,2021/01/26,2021/03/25,"Deltell, Gérard",Member,Secondary Residence,2021/01/26,Gatineau,Gatineau,,,,,,,
T0209535,2021/01/31,2021/02/05,,,,,,,456.3100,0.0000,417.4100,1.0000,0,0,873.72
T0209535,2021/01/31,2021/02/05,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/01/31,Loretteville,Ottawa,,,,,,,
T0209535,2021/01/31,2021/02/05,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/02/05,Ottawa,Loretteville,,,,,,,
200467548,2021/02/01,2021/02/28,,,,,,,0.0000,1210.0000,0.0000,0,0,0,1210.00
200467548,2021/02/01,2021/02/28,"Deltell, Gérard",Member,Secondary Residence,2021/02/01,GATINEAU,GATINEAU,,,,,,,
T0209974,2021/02/15,2021/02/19,,,,,,,456.3100,0.0000,398.8400,1.0000,0,0,855.15
T0209974,2021/02/15,2021/02/19,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/02/15,Loretteville,Ottawa,,,,,,,
T0209974,2021/02/15,2021/02/19,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/02/19,Ottawa,Loretteville,,,,,,,
T0210110,2021/02/21,2021/02/26,,,,,,,456.3100,0.0000,417.4100,1.0000,0,0,873.72
T0210110,2021/02/21,2021/02/26,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/02/21,Loretteville,Ottawa,,,,,,,
T0210110,2021/02/21,2021/02/26,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/02/26,Ottawa,Loretteville,,,,,,,
200475550,2021/03/01,2021/03/31,,,,,,,0.0000,1210.0000,0.0000,0,0,0,1210.00
200475550,2021/03/01,2021/03/31,"Deltell, Gérard",Member,Secondary Residence,2021/03/01,GATINEAU,GATINEAU,,,,,,,
T0210453,2021/03/07,2021/03/12,,,,,,,456.3100,0.0000,417.4100,1.0000,0,0,873.72
T0210453,2021/03/07,2021/03/12,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/03/07,Loretteville,Ottawa,,,,,,,
T0210453,2021/03/07,2021/03/12,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/03/12,Ottawa,Loretteville,,,,,,,
T0210894,2021/03/21,2021/03/26,,,,,,,456.3100,0.0000,417.4100,1.0000,0,0,873.72
T0210894,2021/03/21,2021/03/26,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/03/21,Loretteville,Ottawa,,,,,,,
T0210894,2021/03/21,2021/03/26,"Deltell, Gérard",Member,To travel to/from constituency and Ottawa,2021/03/26,Ottawa,Loretteville,,,,,,,
