Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0232622,2022/05/15,2022/05/15,,,,,,,299.0000,0.0000,0.0000,0.5000,0,0,299.00
T0232622,2022/05/15,2022/05/15,"Dong, Han",Member,Trip cancellation expenses due to unforeseen circumstance,2022/05/15,,,,,,,,,
T0230527,2022/06/05,2022/06/10,,,,,,,443.8900,0.0000,49.1100,1.0000,0,0,493.00
T0230527,2022/06/05,2022/06/10,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/05,Toronto,Ottawa,,,,,,,
T0230527,2022/06/05,2022/06/10,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/10,Ottawa,Toronto,,,,,,,
T0230528,2022/06/13,2022/06/17,,,,,,,656.6900,0.0000,78.4400,1.0000,0,0,735.13
T0230528,2022/06/13,2022/06/17,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/13,Toronto,Ottawa,,,,,,,
T0230528,2022/06/13,2022/06/17,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/17,Ottawa,Toronto,,,,,,,
T0231526,2022/06/20,2022/06/23,,,,,,,323.8300,0.0000,131.8600,1.0000,0,0,455.69
T0231526,2022/06/20,2022/06/23,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/20,Toronto,Ottawa,,,,,,,
T0231526,2022/06/20,2022/06/23,"Dong, Han",Member,To travel to/from constituency and Ottawa,2022/06/23,Ottawa,Toronto,,,,,,,
200582414,2022/07/01,2022/07/31,,,,,,,0.0000,1796.3000,0.0000,0,0,0,1796.30
200582414,2022/07/01,2022/07/31,"Dong, Han",Member,Secondary Residence,2022/07/01,OTTAWA,OTTAWA,,,,,,,
T0233777,2022/07/28,2022/08/05,,,,,,,2391.7300,0.0000,0.0000,0,1.0000,0,2391.73
T0233777,2022/07/28,2022/08/05,"Dong, Han",Member,To attend meetings with stakeholders about business of the House,2022/07/28,Toronto,Vancouver,,,,,,,
T0233777,2022/07/28,2022/08/05,"Dong, Han",Member,To attend meetings with stakeholders about business of the House,2022/08/05,Vancouver,Toronto,,,,,,,
200590041,2022/08/01,2022/08/31,,,,,,,0.0000,1796.3000,0.0000,0,0,0,1796.30
200590041,2022/08/01,2022/08/31,"Dong, Han",Member,Secondary Residence,2022/08/01,OTTAWA,OTTAWA,,,,,,,
200600075,2022/09/01,2022/09/30,,,,,,,0.0000,1796.3000,0.0000,0,0,0,1796.30
200600075,2022/09/01,2022/09/30,"Dong, Han",Member,Secondary Residence,2022/09/01,OTTAWA,OTTAWA,,,,,,,
200607366,2022/10/01,2022/10/31,,,,,,,0.0000,1796.3000,0.0000,0,0,0,1796.30
200607366,2022/10/01,2022/10/31,"Dong, Han",Member,Secondary Residence,2022/10/01,OTTAWA,OTTAWA,,,,,,,
